Home,Away,Total,SpreadFav,SpreadPts,HomeImplied,AwayImplied
Buffalo Bills,New England Patriots,46.5,Buffalo Bills,-8.5,27.5,19.0
Jacksonville Jaguars,Kansas City Chiefs,47.5,Kansas City Chiefs,-4.5,21.5,26.0
New York Jets,Denver Broncos,42.5,Denver Broncos,-6.5,18.0,24.5
Indianapolis Colts,Arizona Cardinals,47.5,Arizona Cardinals,-1.5,23.0,24.5
Baltimore Ravens,Los Angeles Rams,48.5,Baltimore Ravens,-5.5,27.0,21.5
Pittsburgh Steelers,Cleveland Browns,42.5,Pittsburgh Steelers,-6.5,24.5,18.0
Jacksonville Jaguars,Seattle Seahawks,46.5,Jacksonville Jaguars,-1.5,24.0,22.5
Miami Dolphins,Los Angeles Chargers,45.5,Los Angeles Chargers,-2.5,21.5,24.0
Tampa Bay Buccaneers,San Francisco 49ers,48.5,Tampa Bay Buccaneers,-1.5,25.0,23.5
Las Vegas Raiders,Tennessee Titans,44.5,Las Vegas Raiders,-3.0,23.8,20.8
Green Bay Packers,Cincinnati Bengals,48.5,Green Bay Packers,-3.0,25.8,22.8
New Orleans Saints,New England Patriots,43.5,New England Patriots,-3.0,20.2,23.2
Kansas City Chiefs,Detroit Lions,48.5,Kansas City Chiefs,-3.0,25.8,22.8
Atlanta Falcons,Buffalo Bills,48.5,Buffalo Bills,-5.5,21.5,27.0
Washington Commanders,Chicago Bears,48.5,Washington Commanders,-4.5,26.5,22.0
Cincinnati Bengals,Pittsburgh Steelers,46.5,Cincinnati Bengals,-4.5,25.5,21.0
Jacksonville Jaguars,Los Angeles Rams,47.5,Los Angeles Rams,-3.5,22.0,25.5
New York Jets,Carolina Panthers,43.5,New York Jets,-1.5,22.5,21.0
Chicago Bears,New Orleans Saints,44.5,Chicago Bears,-7.5,26.0,18.5
Cleveland Browns,Miami Dolphins,43.5,Miami Dolphins,-1.5,21.0,22.5
Kansas City Chiefs,Las Vegas Raiders,45.5,Kansas City Chiefs,-9.5,27.5,18.0
Tennessee Titans,New England Patriots,44.5,New England Patriots,-1.5,21.5,23.0
Denver Broncos,New York Giants,42.5,Denver Broncos,-7.5,25.0,17.5
Los Angeles Chargers,Indianapolis Colts,45.5,Los Angeles Chargers,-6.0,25.8,19.8
Arizona Cardinals,Green Bay Packers,47.5,Green Bay Packers,-2.5,22.5,25.0
San Francisco 49ers,Atlanta Falcons,47.5,San Francisco 49ers,-6.5,27.0,20.5
Detroit Lions,Tampa Bay Buccaneers,49.5,Detroit Lions,-3.5,26.5,23.0
Seattle Seahawks,Houston Texans,44.5,Seattle Seahawks,-1.5,23.0,21.5
Los Angeles Chargers,Minnesota Vikings,44.5,Los Angeles Chargers,-3.0,23.8,20.8
Atlanta Falcons,Miami Dolphins,46.5,Atlanta Falcons,-1.5,24.0,22.5
Baltimore Ravens,Chicago Bears,48.5,Baltimore Ravens,-7.0,27.8,20.8
Carolina Panthers,Buffalo Bills,47.5,Buffalo Bills,-7.0,20.2,27.2
Cincinnati Bengals,New York Jets,45.5,Cincinnati Bengals,-7.5,26.5,19.0
New England Patriots,Cleveland Browns,42.5,New England Patriots,-5.5,24.0,18.5
Houston Texans,San Francisco 49ers,45.5,San Francisco 49ers,-1.5,22.0,23.5
New Orleans Saints,Tampa Bay Buccaneers,45.5,Tampa Bay Buccaneers,-5.5,20.0,25.5
Indianapolis Colts,Tennessee Titans,44.5,Indianapolis Colts,-3.5,24.0,20.5
Pittsburgh Steelers,Green Bay Packers,44.5,Green Bay Packers,-2.5,21.0,23.5
Kansas City Chiefs,Washington Commanders,48.5,Kansas City Chiefs,-3.5,26.0,22.5
Miami Dolphins,Baltimore Ravens,47.5,Baltimore Ravens,-5.5,21.0,26.5
New England Patriots,Atlanta Falcons,44.5,New England Patriots,-3.0,23.8,20.8
Green Bay Packers,Carolina Panthers,45.5,Green Bay Packers,-7.5,26.5,19.0
Cincinnati Bengals,Chicago Bears,48.5,Cincinnati Bengals,-3.0,25.8,22.8
Houston Texans,Denver Broncos,45.5,Denver Broncos,-1.5,22.0,23.5
Detroit Lions,Minnesota Vikings,47.5,Detroit Lions,-4.5,26.0,21.5
Pittsburgh Steelers,Indianapolis Colts,44.5,Pittsburgh Steelers,-3.5,24.0,20.5
Tennessee Titans,Los Angeles Chargers,44.5,Los Angeles Chargers,-4.5,20.0,24.5
New York Giants,San Francisco 49ers,44.5,San Francisco 49ers,-3.5,20.5,24.0
Las Vegas Raiders,Jacksonville Jaguars,45.5,Las Vegas Raiders,-1.5,23.5,22.0
Los Angeles Rams,New Orleans Saints,44.5,Los Angeles Rams,-9.5,27.0,17.5
Buffalo Bills,Kansas City Chiefs,48.5,Buffalo Bills,-2.5,25.5,23.0
Washington Commanders,Seattle Seahawks,47.5,Washington Commanders,-5.5,26.5,21.0
Denver Broncos,Las Vegas Raiders,43.5,Denver Broncos,-6.5,25.0,18.5
Indianapolis Colts,Atlanta Falcons,44.5,Atlanta Falcons,-1.5,21.5,23.0
Minnesota Vikings,Baltimore Ravens,46.5,Baltimore Ravens,-3.5,21.5,25.0
Miami Dolphins,Buffalo Bills,48.5,Buffalo Bills,-5.5,21.5,27.0
Carolina Panthers,New Orleans Saints,43.5,Carolina Panthers,-4.5,24.0,19.5
Chicago Bears,New York Giants,43.5,Chicago Bears,-5.5,24.5,19.0
New York Jets,Cleveland Browns,40.5,New York Jets,-2.5,21.5,19.0
Houston Texans,Jacksonville Jaguars,45.5,Houston Texans,-3.5,24.5,21.0
Tampa Bay Buccaneers,New England Patriots,46.5,Tampa Bay Buccaneers,-4.5,25.5,21.0
Seattle Seahawks,Arizona Cardinals,45.5,Seattle Seahawks,-1.5,23.5,22.0
Washington Commanders,Detroit Lions,49.5,Washington Commanders,-1.5,25.5,24.0
San Francisco 49ers,Los Angeles Rams,46.5,San Francisco 49ers,-1.5,24.0,22.5
Los Angeles Chargers,Pittsburgh Steelers,43.5,Los Angeles Chargers,-4.5,24.0,19.5
New England Patriots,New York Jets,42.5,New England Patriots,-5.5,24.0,18.5
Miami Dolphins,Washington Commanders,48.5,Washington Commanders,-4.5,22.0,26.5
Atlanta Falcons,Carolina Panthers,45.5,Atlanta Falcons,-3.0,24.2,21.2
Buffalo Bills,Tampa Bay Buccaneers,49.5,Buffalo Bills,-5.5,27.5,22.0
Minnesota Vikings,Chicago Bears,45.5,Minnesota Vikings,-2.5,24.0,21.5
Pittsburgh Steelers,Cincinnati Bengals,46.5,Cincinnati Bengals,-1.5,22.5,24.0
New York Giants,Green Bay Packers,43.5,Green Bay Packers,-4.5,19.5,24.0
Tennessee Titans,Houston Texans,43.5,Houston Texans,-3.0,20.2,23.2
Jacksonville Jaguars,Los Angeles Chargers,46.5,Los Angeles Chargers,-1.5,22.5,24.0
Arizona Cardinals,San Francisco 49ers,47.5,San Francisco 49ers,-1.5,23.0,24.5
Los Angeles Rams,Seattle Seahawks,45.5,Los Angeles Rams,-4.5,25.0,20.5
Cleveland Browns,Baltimore Ravens,44.5,Baltimore Ravens,-8.5,18.0,26.5
