Lineup,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,Salary,Projected,Ownership
1,Daniel Jones,James Cook III,David Montgomery,Puka Nacua,Keenan Allen,Chris Godwin Jr.,Brock Wright,Tre Tucker,Indianapolis Colts,59800,168.4,131.0
2,Daniel Jones,Christian McCaffrey,David Montgomery,Puka Nacua,Rome Odunze,Quentin Johnston,Brock Wright,Tre Tucker,Carolina Panthers,59900,166.1,136.0
