Lineup,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,Salary,Projected,Ownership
1,Josh Allen,James Cook III,Jahmyr Gibbs,Amon-Ra St. Brown,Rome Odunze,Chris Godwin Jr.,Brock Wright,Kristian Wilkerson,Carolina Panthers,59600,173.1,156.0
2,Lamar Jackson,Jonathan Taylor,James Cook III,Amon-Ra St. Brown,Chris Godwin Jr.,Tre Tucker,Brock Wright,Devontez Walker,Carolina Panthers,59700,172.0,156.0
3,Lamar Jackson,Jonathan Taylor,Bijan Robinson,Rome Odunze,Quentin Johnston,Tre Tucker,Dalton Kincaid,Devontez Walker,Carolina Panthers,59700,167.7,156.0
4,Justin Herbert,Jonathan Taylor,David Montgomery,Amon-Ra St. Brown,Rome Odunze,Quentin Johnston,Jack Stoll,Chris Godwin Jr.,Carolina Panthers,59700,166.2,146.0
