Lineup,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,Salary,Projected,Ownership
1,Lamar Jackson,Jonathan Taylor,James Cook III,Puka Nacua,Chris Godwin Jr.,Tre Tucker,Jack Stoll,Devontez Walker,Carolina Panthers,59900,179.5,171.0
2,Caleb Williams,Jonathan Taylor,David Montgomery,Amon-Ra St. Brown,Rome Odunze,Quentin Johnston,Brock Wright,Chris Godwin Jr.,Carolina Panthers,59700,174.1,151.0
3,Caleb Williams,Jonathan Taylor,James Cook III,Rome Odunze,Quentin Johnston,Chris Godwin Jr.,Dalton Kincaid,Tre Tucker,Carolina Panthers,59800,172.0,146.0
