Lineup,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,Salary,Projected,Ownership
1,Lamar Jackson,Jonathan Taylor,James Cook III,Amon-Ra St. Brown,Quentin Johnston,Tre Tucker,Jack Stoll,Devontez Walker,Carolina Panthers,59400,165.6,166.0
2,Lamar Jackson,Jonathan Taylor,Bijan Robinson,Chris Godwin Jr.,Tre Tucker,Devontez Walker,Brock Wright,James Cook III,Carolina Panthers,59800,163.8,169.0
3,Caleb Williams,Jonathan Taylor,David Montgomery,Puka Nacua,Rome Odunze,Chris Godwin Jr.,Jack Stoll,Tre Tucker,Carolina Panthers,59700,160.5,151.0
