Lineup,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,Salary,Projected,Ownership
1,Caleb Williams,Jonathan Taylor,James Cook III,Rome Odunze,Keenan Allen,Chris Godwin Jr.,Hunter Henry,Tre Tucker,Carolina Panthers,60000,161.3,146.0
2,Daniel Jones,Jonathan Taylor,James Cook III,Puka Nacua,Chris Godwin Jr.,Tre Tucker,Jack Stoll,Michael Pittman Jr.,Carolina Panthers,60000,157.6,148.0
