Lineup,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,Salary,Projected,Ownership
1,Caleb Williams,Jonathan Taylor,James Cook III,Rome Odunze,Keenan Allen,Chris Godwin Jr.,Brock Wright,Tre Tucker,Carolina Panthers,59000,163.4,146.0
2,Justin Herbert,Jonathan Taylor,James Cook III,Rome Odunze,Keenan Allen,Chris Godwin Jr.,Brock Wright,Tre Tucker,Carolina Panthers,59400,162.2,146.0
