Lineup,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,Salary,Projected,Ownership
1,Caleb Williams,Jonathan Taylor,James Cook III,Rome Odunze,Keenan Allen,Chris Godwin Jr.,Hunter Henry,Tre Tucker,Carolina Panthers,60000,157.9,146.0
2,Caleb Williams,Jonathan Taylor,David Montgomery,Puka Nacua,Rome Odunze,Chris Godwin Jr.,Jack Stoll,Tre Tucker,Carolina Panthers,59700,151.8,141.0
