Lineup,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,Salary,Projected,Ownership
1,Caleb Williams,Jonathan Taylor,James Cook III,Rome Odunze,Keenan Allen,Chris Godwin Jr.,Brock Wright,Tre Tucker,Los Angeles Rams,59700,162.5,151.0
2,Caleb Williams,James Cook III,Cam Skattebo,Puka Nacua,Amon-Ra St. Brown,Rome Odunze,David Martin-Robinson,Tre Tucker,Carolina Panthers,60000,144.7,138.0
