Lineup,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,Salary,Projected,Ownership
1,Lamar Jackson,Jonathan Taylor,David Montgomery,Amon-Ra St. Brown,Keenan Allen,Chris Godwin Jr.,Brock Wright,Tre Tucker,Carolina Panthers,60000,181.8,166.0
2,Caleb Williams,Jonathan Taylor,David Montgomery,Puka Nacua,Chris Godwin Jr.,Tre Tucker,Hunter Henry,Michael Pittman Jr.,Atlanta Falcons,59900,179.8,155.0
3,Lamar Jackson,James Cook III,David Montgomery,Puka Nacua,Rome Odunze,Quentin Johnston,Jack Stoll,Tre Tucker,Carolina Panthers,60000,174.5,156.0
4,Josh Allen,Jonathan Taylor,Jahmyr Gibbs,Rome Odunze,Quentin Johnston,Tre Tucker,Brock Wright,Wan'Dale Robinson,Carolina Panthers,59700,170.1,158.0
5,Caleb Williams,Jonathan Taylor,James Cook III,Amon-Ra St. Brown,Keenan Allen,Tre Tucker,Jack Stoll,Michael Pittman Jr.,Carolina Panthers,59900,168.6,158.0
