Lineup,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,Salary,Projected,Ownership
1,Caleb Williams,James Cook III,David Montgomery,Puka Nacua,Rome Odunze,Chris Godwin Jr.,Hunter Henry,Tre Tucker,Tampa Bay Buccaneers,60000,157.1,136.0
2,Daniel Jones,Jonathan Taylor,James Cook III,Amon-Ra St. Brown,Chris Godwin Jr.,Tre Tucker,Brock Wright,Michael Pittman Jr.,Carolina Panthers,59800,157.5,148.0
3,Lamar Jackson,Jonathan Taylor,James Cook III,Puka Nacua,Chris Godwin Jr.,Tre Tucker,David Martin-Robinson,Devontez Walker,Carolina Panthers,59800,151.1,161.0
