Lineup,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,Salary,Projected,Ownership
1,Lamar Jackson,James Cook III,David Montgomery,Amon-Ra St. Brown,Keenan Allen,Chris Godwin Jr.,Hunter Henry,Tre Tucker,Carolina Panthers,60000,179.1,156.0
2,Lamar Jackson,Jonathan Taylor,James Cook III,Rome Odunze,Quentin Johnston,Chris Godwin Jr.,Brock Wright,Tre Tucker,Carolina Panthers,59900,175.0,161.0
3,Josh Allen,Jonathan Taylor,James Cook III,Rome Odunze,Quentin Johnston,Chris Godwin Jr.,Jack Stoll,Tre Tucker,Atlanta Falcons,60000,161.5,151.0
