Lineup,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,Salary,Projected,Ownership
1,Cooper Rush,Jonathan Taylor,Javonte Williams,Amon-Ra St. Brown,CeeDee Lamb,Michael Pittman Jr.,Darren Waller,Brock Wright,Seattle Seahawks,59800,119.3,118.0
2,Cooper Rush,Jonathan Taylor,De'Von Achane,George Pickens,Keenan Allen,Michael Pittman Jr.,Darren Waller,Javonte Williams,Seattle Seahawks,59900,117.3,116.0
3,Cooper Rush,Javonte Williams,Raheem Mostert,Amon-Ra St. Brown,CeeDee Lamb,Garrett Wilson,Darren Waller,Quentin Johnston,Seattle Seahawks,60000,113.3,113.0
4,Cooper Rush,J.K. Dobbins,David Montgomery,Amon-Ra St. Brown,CeeDee Lamb,Quentin Johnston,Darren Waller,George Pickens,Houston Texans,59700,104.6,111.0
