Lineup,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,Salary,Projected,Uniqueness,Avg_Ownership
1,Cooper Rush,Jonathan Taylor,Chuba Hubbard,Amon-Ra St. Brown,Zay Flowers,George Pickens,Will Mallory,Michael Pittman Jr.,Denver Broncos,59800,73.1,68.0,12.9
2,Lamar Jackson,Jonathan Taylor,Ameer Abdullah,CeeDee Lamb,Garrett Wilson,Quentin Johnston,David Martin-Robinson,Tre Tucker,Seattle Seahawks,59800,88.0,64.0,14.2
