Lineup,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,Salary,Projected,Ownership
1,Daniel Jones,De'Von Achane,J.K. Dobbins,CeeDee Lamb,Quentin Johnston,George Pickens,Darren Waller,Tre Tucker,Seattle Seahawks,60000,140.2,113.0
2,Justin Fields,Javonte Williams,J.K. Dobbins,Amon-Ra St. Brown,CeeDee Lamb,George Pickens,Darren Waller,Tre Tucker,Houston Texans,60000,138.1,110.0
3,Daniel Jones,Jonathan Taylor,Ashton Jeanty,George Pickens,Keenan Allen,Tre Tucker,Darren Waller,Javonte Williams,Seattle Seahawks,60000,134.6,108.0
4,Daniel Jones,Javonte Williams,J.K. Dobbins,Amon-Ra St. Brown,CeeDee Lamb,Michael Pittman Jr.,Dallas Goedert,Darren Waller,Seattle Seahawks,59400,127.2,100.0
5,Daniel Jones,Javonte Williams,David Montgomery,Amon-Ra St. Brown,Emeka Egbuka,George Pickens,Darren Waller,Tre Tucker,Seattle Seahawks,60000,129.4,105.0
6,Justin Fields,Javonte Williams,J.K. Dobbins,Amon-Ra St. Brown,George Pickens,Keenan Allen,Darren Waller,Michael Pittman Jr.,Seattle Seahawks,59600,119.0,100.0
7,Justin Fields,Jonathan Taylor,Javonte Williams,Emeka Egbuka,George Pickens,Tre Tucker,Dallas Goedert,Darren Waller,Seattle Seahawks,59900,121.2,115.0
8,Lamar Jackson,Jonathan Taylor,Javonte Williams,Emeka Egbuka,Quentin Johnston,Tre Tucker,Darren Waller,Brock Wright,Seattle Seahawks,60000,122.0,128.0
9,Jalen Hurts,Jonathan Taylor,Javonte Williams,Garrett Wilson,Quentin Johnston,Tre Tucker,Darren Waller,Brock Wright,Seattle Seahawks,60000,122.7,128.0
10,Jalen Hurts,J.K. Dobbins,Cam Skattebo,Amon-Ra St. Brown,Garrett Wilson,George Pickens,Brock Wright,Tre Tucker,Seattle Seahawks,60000,111.7,113.0
