Lineup,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,Salary,Projected,Uniqueness,Avg_Ownership
1,Baker Mayfield,De'Von Achane,Javonte Williams,CeeDee Lamb,Emeka Egbuka,Quentin Johnston,Brock Wright,Tre Tucker,Houston Texans,59600,99.3,70.0,12.0
2,Dak Prescott,Jonathan Taylor,Javonte Williams,Amon-Ra St. Brown,Keenan Allen,Michael Pittman Jr.,Brock Wright,David Montgomery,Houston Texans,59600,101.6,68.0,12.9
3,Justin Herbert,Jonathan Taylor,Omarion Hampton,Emeka Egbuka,Quentin Johnston,Michael Pittman Jr.,Darren Waller,Brock Wright,Seattle Seahawks,60000,100.2,67.0,13.1
4,Daniel Jones,De'Von Achane,Javonte Williams,Jaxon Smith-Njigba,Zay Flowers,George Pickens,Brock Wright,Michael Pittman Jr.,Seattle Seahawks,59900,88.7,73.0,10.9
5,Justin Herbert,De'Von Achane,Bucky Irving,Amon-Ra St. Brown,CeeDee Lamb,Quentin Johnston,David Martin-Robinson,Devontez Walker,Las Vegas Raiders,59900,78.1,68.0,12.9
