Lineup,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,Salary,Projected,Ownership
1,Daniel Jones,Jonathan Taylor,David Montgomery,CeeDee Lamb,Quentin Johnston,Michael Pittman Jr.,Darren Waller,Tre Tucker,Seattle Seahawks,60000,117.6,115.0
2,Cooper Rush,Jahmyr Gibbs,J.K. Dobbins,Jaxon Smith-Njigba,CeeDee Lamb,George Pickens,Brock Wright,Tre Tucker,Seattle Seahawks,59800,101.8,116.0
3,Jalen Hurts,Bucky Irving,Javonte Williams,Amon-Ra St. Brown,George Pickens,Michael Pittman Jr.,Darren Waller,Tre Tucker,Houston Texans,59900,99.3,112.0
