QB,RB,RB,WR,WR,WR,TE,FLEX,D
Jalen Hurts,Jonathan Taylor,James Cook III,Nico Collins,Zay Flowers,DeVonta Smith,Brock Bowers,,Baltimore Ravens
Jalen Hurts,Jonathan Taylor,Jahmyr Gibbs,Nico Collins,Zay Flowers,DeVonta Smith,Brock Bowers,,Baltimore Ravens
Jalen Hurts,Jonathan Taylor,James Cook III,Nico Collins,DeVonta Smith,Michael Pittman Jr.,Brock Bowers,,Baltimore Ravens
Jalen Hurts,Jonathan Taylor,James Cook III,Nico Collins,Zay Flowers,DeVonta Smith,Brock Bowers,,Houston Texans
Jalen Hurts,Jonathan Taylor,Jahmyr Gibbs,Nico Collins,Zay Flowers,DeVonta Smith,Brock Bowers,,Detroit Lions
