Lineup,Player_1,Player_2,Player_3,Player_4,Player_5,Player_6,Player_7,Player_8,Player_9,Total_Salary,Projected_Points,Contest_Type
1,Amon-Ra St. Brown (WR) $8800,Nico Collins (WR) $8200,Daniel Jones (QB) $7400,Ashton Jeanty (RB) $6800,Brock Bowers (TE) $6700,DJ Moore (WR) $6300,Nick Chubb (RB) $6000,Alec Pierce (WR) $5200,Houston Texans (D) $4400,59800,211.88,gpp
2,Amon-Ra St. Brown (WR) $8800,Nico Collins (WR) $8200,Daniel Jones (QB) $7400,Brock Bowers (TE) $6700,David Montgomery (RB) $6700,DJ Moore (WR) $6300,Nick Chubb (RB) $6000,Alec Pierce (WR) $5200,Indianapolis Colts (D) $4700,60000,209.71,gpp
3,Amon-Ra St. Brown (WR) $8800,Nico Collins (WR) $8200,Zay Flowers (WR) $7300,Ashton Jeanty (RB) $6800,Brock Bowers (TE) $6700,DJ Moore (WR) $6300,Nick Chubb (RB) $6000,Case Keenum (QB) $6000,Chicago Bears (D) $3700,59800,206.89,gpp
