Lineup,Player_1,Player_2,Player_3,Player_4,Player_5,Player_6,Player_7,Player_8,Player_9,Total_Salary,Projected_Points,Contest_Type
1,Lamar Jackson (QB) $8700,Jonathan Taylor (RB) $9500,James Cook III (RB) $8500,Rome Odunze (WR) $7200,Chris Godwin Jr. (WR) $6100,Tre Tucker (WR) $6000,Jack Stoll (TE) $4100,David Montgomery (RB) $6700,Carolina Panthers (D) $3200,60000,168.24,cash
2,Lamar Jackson (QB) $8700,Jonathan Taylor (RB) $9500,James Cook III (RB) $8500,Rome Odunze (WR) $7200,Quentin Johnston (WR) $6200,Chris Godwin Jr. (WR) $6100,Brock Wright (TE) $4500,Tre Tucker (WR) $6000,Carolina Panthers (D) $3200,59900,169.81,cash
3,Daniel Jones (QB) $7400,Jonathan Taylor (RB) $9500,James Cook III (RB) $8500,Amon-Ra St. Brown (WR) $8800,Quentin Johnston (WR) $6200,Chris Godwin Jr. (WR) $6100,Jack Stoll (TE) $4100,Tre Tucker (WR) $6000,Carolina Panthers (D) $3200,59800,165.29,cash
