QB,RB,RB,WR,WR,WR,TE,FLEX,D
Jalen Hurts,Jahmyr Gibbs,Ashton Jeanty,Amon-Ra St. Brown,Nico Collins,Michael Pittman Jr.,Brock Bowers,,Detroit Lions
Jalen Hurts,Jahmyr Gibbs,Nick Chubb,Amon-Ra St. Brown,Nico Collins,Michael Pittman Jr.,Brock Bowers,,Detroit Lions
Daniel Jones,Jahmyr Gibbs,Ashton Jeanty,Amon-Ra St. Brown,Nico Collins,Michael Pittman Jr.,Brock Bowers,,Detroit Lions
Daniel Jones,Jahmyr Gibbs,Nick Chubb,Amon-Ra St. Brown,Nico Collins,Michael Pittman Jr.,Brock Bowers,,Detroit Lions
Jalen Hurts,Jahmyr Gibbs,Ashton Jeanty,Amon-Ra St. Brown,Nico Collins,Michael Pittman Jr.,Brock Bowers,,Washington Commanders
