QB,RB,RB,WR,WR,WR,TE,FLEX,D
Shane Buechele,Jonathan Taylor,James Cook III,Amon-Ra St. Brown,Nico Collins,Zay Flowers,Brock Bowers,,Buffalo Bills
Shane Buechele,Jonathan Taylor,Nick Chubb,Amon-Ra St. Brown,Nico Collins,Zay Flowers,Brock Bowers,,Buffalo Bills
Shane Buechele,Jonathan Taylor,James Cook III,Amon-Ra St. Brown,Nico Collins,Zay Flowers,Brock Bowers,,Indianapolis Colts
Shane Buechele,Jonathan Taylor,James Cook III,Amon-Ra St. Brown,Nico Collins,Zay Flowers,Brock Bowers,,Houston Texans
Anthony Richardson Sr.,Jonathan Taylor,James Cook III,Amon-Ra St. Brown,Nico Collins,Zay Flowers,Brock Bowers,,Buffalo Bills
