QB,RB,RB,WR,WR,WR,TE,FLEX,D
Sam Hartman,Derrick Henry,Jeremy McNichols,Nico Collins,Zay Flowers,Deebo Samuel Sr.,Brock Bowers,,Baltimore Ravens
Sam Hartman,Derrick Henry,Jeremy McNichols,Nico Collins,Zay Flowers,Deebo Samuel Sr.,Brock Bowers,,Houston Texans
Sam Hartman,Derrick Henry,Jeremy McNichols,Nico Collins,Zay Flowers,Deebo Samuel Sr.,Brock Bowers,,Philadelphia Eagles
Sam Hartman,Derrick Henry,Jeremy McNichols,Nico Collins,Zay Flowers,Deebo Samuel Sr.,Brock Bowers,,Buffalo Bills
Sam Hartman,Derrick Henry,Jeremy McNichols,Nico Collins,A.J. Brown,Zay Flowers,Brock Bowers,,Baltimore Ravens
