Lineup,QB,RB,WR,TE,DST,Total_Salary,Projected_Points,Ownership_Total,Correlation_Score
1,J.Hurts (00-0036389),J.Gibbs (00-0039139),J.Wayne (00-0038728),T.Higbee (00-0033110),BAL Defense (DST_BAL),59922,156.73,199.7,0.393
2,J.Hurts (00-0036389),J.Gibbs (00-0039139),J.Wayne (00-0038728),T.Higbee (00-0033110),BAL Defense (DST_BAL),59922,156.73,199.7,0.393
3,J.Hurts (00-0036389),J.Gibbs (00-0039139),J.Wayne (00-0038728),T.Higbee (00-0033110),BAL Defense (DST_BAL),59922,156.73,199.7,0.393
4,J.Hurts (00-0036389),J.Gibbs (00-0039139),J.Wayne (00-0038728),T.Higbee (00-0033110),BAL Defense (DST_BAL),59922,156.73,199.7,0.393
5,J.Hurts (00-0036389),J.Gibbs (00-0039139),J.Wayne (00-0038728),T.Higbee (00-0033110),BAL Defense (DST_BAL),59922,156.73,199.7,0.393
6,J.Hurts (00-0036389),J.Gibbs (00-0039139),J.Wayne (00-0038728),T.Higbee (00-0033110),BAL Defense (DST_BAL),59922,156.73,199.7,0.393
7,J.Hurts (00-0036389),J.Gibbs (00-0039139),J.Wayne (00-0038728),T.Higbee (00-0033110),BAL Defense (DST_BAL),59922,156.73,199.7,0.393
8,J.Hurts (00-0036389),J.Gibbs (00-0039139),J.Wayne (00-0038728),T.Higbee (00-0033110),BAL Defense (DST_BAL),59922,156.73,199.7,0.393
9,J.Hurts (00-0036389),J.Gibbs (00-0039139),J.Wayne (00-0038728),T.Higbee (00-0033110),BAL Defense (DST_BAL),59922,156.73,199.7,0.393
10,J.Hurts (00-0036389),J.Gibbs (00-0039139),J.Wayne (00-0038728),T.Higbee (00-0033110),BAL Defense (DST_BAL),59922,156.73,199.7,0.393
11,J.Daniels (00-0039910),J.Gibbs (00-0039139),J.Williams (00-0037240),Z.Ertz (00-0030061),BAL Defense (DST_BAL),59783,154.23,199.3,0.41
12,J.Daniels (00-0039910),J.Gibbs (00-0039139),J.Williams (00-0037240),Z.Ertz (00-0030061),BAL Defense (DST_BAL),59783,154.23,199.3,0.41
13,J.Daniels (00-0039910),J.Gibbs (00-0039139),J.Williams (00-0037240),Z.Ertz (00-0030061),BAL Defense (DST_BAL),59783,154.23,199.3,0.41
14,J.Daniels (00-0039910),J.Gibbs (00-0039139),J.Williams (00-0037240),Z.Ertz (00-0030061),BAL Defense (DST_BAL),59783,154.23,199.3,0.41
15,J.Daniels (00-0039910),J.Gibbs (00-0039139),J.Williams (00-0037240),Z.Ertz (00-0030061),BAL Defense (DST_BAL),59783,154.23,199.3,0.41
16,J.Daniels (00-0039910),J.Gibbs (00-0039139),J.Williams (00-0037240),Z.Ertz (00-0030061),BAL Defense (DST_BAL),59783,154.23,199.3,0.41
17,J.Daniels (00-0039910),J.Gibbs (00-0039139),J.Williams (00-0037240),Z.Ertz (00-0030061),BAL Defense (DST_BAL),59783,154.23,199.3,0.41
18,J.Daniels (00-0039910),J.Gibbs (00-0039139),J.Williams (00-0037240),Z.Ertz (00-0030061),BAL Defense (DST_BAL),59783,154.23,199.3,0.41
19,J.Daniels (00-0039910),J.Gibbs (00-0039139),J.Williams (00-0037240),Z.Ertz (00-0030061),BAL Defense (DST_BAL),59783,154.23,199.3,0.41
20,J.Daniels (00-0039910),J.Gibbs (00-0039139),J.Williams (00-0037240),Z.Ertz (00-0030061),BAL Defense (DST_BAL),59783,154.23,199.3,0.41
