Lineup,Player_1,Player_2,Player_3,Player_4,Player_5,Player_6,Player_7,Player_8,Player_9,Total_Salary,Projected_Points,Contest_Type
1,D.Ogunbowale (RB) $5845,S.Barkley (RB) $9500,J.Jennings (WR) $8836,T.Tremble (TE) $4208,D.Douglas (WR) $6723,R.Rice (WR) $8858,A.Richardson (QB) $6992,BUF Defense (DST) $4500,NYJ Kicker (K) $4500,59962,160.81,gpp
2,D.Ogunbowale (RB) $5845,S.Barkley (RB) $9500,J.Jennings (WR) $8836,T.Tremble (TE) $4208,D.Douglas (WR) $6723,R.Rice (WR) $8858,A.Richardson (QB) $6992,PHI Defense (DST) $4500,DAL Kicker (K) $4500,59962,160.77,gpp
3,D.Ogunbowale (RB) $5845,S.Barkley (RB) $9500,J.Jennings (WR) $8836,T.Tremble (TE) $4208,D.Douglas (WR) $6723,R.Rice (WR) $8858,A.Richardson (QB) $6992,LAC Defense (DST) $4500,CAR Kicker (K) $4500,59962,159.36,gpp
4,D.Ogunbowale (RB) $5845,S.Barkley (RB) $9500,J.Jennings (WR) $8836,T.Tremble (TE) $4208,D.Douglas (WR) $6723,R.Rice (WR) $8858,A.Richardson (QB) $6992,GB Defense (DST) $4500,TEN Kicker (K) $4500,59962,159.14,gpp
5,D.Prescott (QB) $10203,C.Samuel (WR) $5284,S.Barkley (RB) $9500,J.Jacobs (RB) $6246,J.Jennings (WR) $8836,T.Tremble (TE) $4208,D.Douglas (WR) $6723,JAX Defense (DST) $4500,SEA Kicker (K) $4500,60000,162.21,gpp
6,D.Prescott (QB) $10203,C.Samuel (WR) $5284,S.Barkley (RB) $9500,T.Pollard (RB) $6212,J.Jennings (WR) $8836,D.Mooney (WR) $6744,T.Tremble (TE) $4208,NE Defense (DST) $4500,NO Kicker (K) $4500,59987,161.86,gpp
7,D.Ogunbowale (RB) $5845,S.Barkley (RB) $9500,J.Jennings (WR) $8836,J.Chase (WR) $9030,T.Tremble (TE) $4208,J.Mingo (WR) $5354,W.Levis (QB) $8218,KC Defense (DST) $4500,PHI Kicker (K) $4500,59991,159.56,gpp
8,D.Ogunbowale (RB) $5845,S.Barkley (RB) $9500,J.Jennings (WR) $8836,T.Tremble (TE) $4208,D.Douglas (WR) $6723,R.Rice (WR) $8858,A.Richardson (QB) $6992,ARI Defense (DST) $4500,CIN Kicker (K) $4500,59962,157.08,gpp
9,D.Prescott (QB) $10203,C.Samuel (WR) $5284,S.Barkley (RB) $9500,J.Jacobs (RB) $6246,J.Jennings (WR) $8836,T.Tremble (TE) $4208,D.Douglas (WR) $6723,PHI Defense (DST) $4500,MIA Kicker (K) $4500,60000,161.15,gpp
10,D.Prescott (QB) $10203,C.Samuel (WR) $5284,S.Barkley (RB) $9500,T.Pollard (RB) $6212,J.Jennings (WR) $8836,T.Tremble (TE) $4208,D.Douglas (WR) $6723,IND Defense (DST) $4500,IND Kicker (K) $4500,59966,160.78,gpp
11,D.Prescott (QB) $10203,D.Ogunbowale (RB) $5845,R.McCloud (WR) $5499,S.Barkley (RB) $9500,J.Jennings (WR) $8836,D.Smith (WR) $6779,T.Tremble (TE) $4208,LV Defense (DST) $4500,IND Kicker (K) $4500,59870,160.82,gpp
12,D.Ogunbowale (RB) $5845,S.Barkley (RB) $9500,J.Jennings (WR) $8836,D.Mooney (WR) $6744,T.Tremble (TE) $4208,R.Rice (WR) $8858,A.Richardson (QB) $6992,JAX Defense (DST) $4500,SF Kicker (K) $4500,59983,156.12,gpp
13,C.Samuel (WR) $5284,D.Ogunbowale (RB) $5845,S.Barkley (RB) $9500,K.Murray (QB) $8395,J.Jennings (WR) $8836,T.Tremble (TE) $4208,R.Rice (WR) $8858,HOU Defense (DST) $4500,SF Kicker (K) $4500,59926,157.72,gpp
14,D.Prescott (QB) $10203,C.Samuel (WR) $5284,S.Barkley (RB) $9500,T.Pollard (RB) $6212,J.Jennings (WR) $8836,D.Mooney (WR) $6744,T.Tremble (TE) $4208,SF Defense (DST) $4500,SEA Kicker (K) $4500,59987,159.13,gpp
15,D.Prescott (QB) $10203,C.Samuel (WR) $5284,S.Barkley (RB) $9500,J.Jacobs (RB) $6246,J.Jennings (WR) $8836,T.Tremble (TE) $4208,D.Douglas (WR) $6723,SEA Defense (DST) $4500,JAX Kicker (K) $4500,60000,158.6,gpp
16,D.Prescott (QB) $10203,C.Samuel (WR) $5284,S.Barkley (RB) $9500,J.Jacobs (RB) $6246,J.Jennings (WR) $8836,T.Tremble (TE) $4208,D.Douglas (WR) $6723,TEN Defense (DST) $4500,DAL Kicker (K) $4500,60000,158.48,gpp
17,D.Prescott (QB) $10203,D.Ogunbowale (RB) $5845,R.McCloud (WR) $5499,S.Barkley (RB) $9500,J.Jennings (WR) $8836,D.Smith (WR) $6779,T.Tremble (TE) $4208,NYJ Defense (DST) $4500,DAL Kicker (K) $4500,59870,158.54,gpp
18,C.Samuel (WR) $5284,J.Conner (RB) $5770,S.Barkley (RB) $9500,J.Allen (QB) $10621,J.Jennings (WR) $8836,D.Smith (WR) $6779,T.Tremble (TE) $4208,HOU Defense (DST) $4500,DET Kicker (K) $4500,59998,158.91,gpp
19,D.Prescott (QB) $10203,C.Samuel (WR) $5284,S.Barkley (RB) $9500,T.Pollard (RB) $6212,J.Jennings (WR) $8836,D.Mooney (WR) $6744,T.Tremble (TE) $4208,NE Defense (DST) $4500,ATL Kicker (K) $4500,59987,157.33,gpp
20,C.Samuel (WR) $5284,J.Conner (RB) $5770,S.Barkley (RB) $9500,J.Allen (QB) $10621,J.Jennings (WR) $8836,D.Smith (WR) $6779,T.Tremble (TE) $4208,WSH Defense (DST) $4500,NO Kicker (K) $4500,59998,157.35,gpp
