Lineup,Player_1,Player_2,Player_3,Player_4,Player_5,Player_6,Player_7,Player_8,Player_9,Total_Salary,Projected_Points,Contest_Type
1,Lamar Jackson (QB) $8700,Jonathan Taylor (RB) $9500,James Cook III (RB) $8500,Rome Odunze (WR) $7200,Quentin Johnston (WR) $6200,Tre Tucker (WR) $6000,Brock Wright (TE) $4500,Devontez Walker (WR) $4400,Indianapolis Colts (D) $4700,59700,162.96,gpp
2,Caleb Williams (QB) $7500,Jonathan Taylor (RB) $9500,James Cook III (RB) $8500,Puka Nacua (WR) $9400,Rome Odunze (WR) $7200,Tre Tucker (WR) $6000,Brock Wright (TE) $4500,Tez Johnson (WR) $4200,Carolina Panthers (D) $3200,60000,159.2,gpp
3,Lamar Jackson (QB) $8700,Jonathan Taylor (RB) $9500,James Cook III (RB) $8500,Puka Nacua (WR) $9400,Tre Tucker (WR) $6000,Devontez Walker (WR) $4400,Hunter Henry (TE) $5500,Jalen Royals (WR) $4300,Carolina Panthers (D) $3200,59500,153.79,gpp
