Lineup,QB,RB,WR,TE,DST,Total_Salary,Projected_Points,Ownership_Total,Correlation_Score
1,J.Daniels (00-0039910),J.Gibbs (00-0039139),K.Shakir (00-0037261),T.Higbee (00-0033110),Atlanta Falcons Defense (DST_ATL),59975,155.28,199.9,0.41
2,J.Daniels (00-0039910),J.Gibbs (00-0039139),J.Williams (00-0037240),T.Higbee (00-0033110),Baltimore Ravens Defense (DST_BAL),59969,155.18,199.9,0.41
3,J.Daniels (00-0039910),J.Gibbs (00-0039139),J.Williams (00-0037240),T.Higbee (00-0033110),Baltimore Ravens Defense (DST_BAL),59840,155.03,199.5,0.41
4,J.Daniels (00-0039910),J.Gibbs (00-0039139),K.Coleman (00-0039901),T.Higbee (00-0033110),Baltimore Ravens Defense (DST_BAL),59920,155.03,199.7,0.41
5,J.Daniels (00-0039910),J.Gibbs (00-0039139),J.Williams (00-0037240),T.Kelce (00-0030506),Baltimore Ravens Defense (DST_BAL),59919,155.0,199.7,0.28
6,J.Daniels (00-0039910),J.Gibbs (00-0039139),K.Shakir (00-0037261),Z.Ertz (00-0030061),Baltimore Ravens Defense (DST_BAL),59983,154.98,199.9,0.41
7,J.Daniels (00-0039910),J.Gibbs (00-0039139),A.St. Brown (00-0036963),I.Likely (00-0037838),Atlanta Falcons Defense (DST_ATL),59952,154.73,199.8,0.41
8,J.Daniels (00-0039910),J.Gibbs (00-0039139),K.Shakir (00-0037261),I.Likely (00-0037838),Baltimore Ravens Defense (DST_BAL),59952,154.68,199.8,0.41
9,J.Daniels (00-0039910),J.Gibbs (00-0039139),J.Williams (00-0037240),Z.Ertz (00-0030061),Baltimore Ravens Defense (DST_BAL),59927,154.38,199.8,0.41
10,C.Stroud (00-0039163),J.Gibbs (00-0039139),J.Williams (00-0037240),T.Higbee (00-0033110),Atlanta Falcons Defense (DST_ATL),59987,154.3,200.0,0.28
11,J.Daniels (00-0039910),J.Gibbs (00-0039139),J.Williams (00-0037240),Z.Ertz (00-0030061),Baltimore Ravens Defense (DST_BAL),59798,154.23,199.3,0.41
12,J.Daniels (00-0039910),J.Gibbs (00-0039139),K.Coleman (00-0039901),Z.Ertz (00-0030061),Baltimore Ravens Defense (DST_BAL),59878,154.23,199.6,0.41
13,J.Daniels (00-0039910),J.Gibbs (00-0039139),K.Shakir (00-0037261),I.Likely (00-0037838),Atlanta Falcons Defense (DST_ATL),59979,154.18,199.9,0.41
14,J.Daniels (00-0039910),J.Gibbs (00-0039139),J.Williams (00-0037240),I.Likely (00-0037838),Baltimore Ravens Defense (DST_BAL),59896,154.08,199.7,0.41
15,J.Daniels (00-0039910),J.Gibbs (00-0039139),X.Hutchinson (00-0038618),T.Higbee (00-0033110),Baltimore Ravens Defense (DST_BAL),59980,153.98,199.9,0.41
16,J.Hurts (00-0036389),J.Gibbs (00-0039139),K.Coleman (00-0039901),Z.Ertz (00-0030061),Baltimore Ravens Defense (DST_BAL),59969,153.93,199.9,0.41
17,J.Daniels (00-0039910),J.Gibbs (00-0039139),K.Coleman (00-0039901),I.Likely (00-0037838),Baltimore Ravens Defense (DST_BAL),59847,153.93,199.5,0.41
18,J.Daniels (00-0039910),J.Gibbs (00-0039139),K.Coleman (00-0039901),T.Higbee (00-0033110),Baltimore Ravens Defense (DST_BAL),59931,153.83,199.8,0.41
19,J.Daniels (00-0039910),J.Gibbs (00-0039139),T.Wallace (00-0036630),I.Likely (00-0037838),Baltimore Ravens Defense (DST_BAL),59971,153.83,199.9,0.28
20,J.Daniels (00-0039910),J.Gibbs (00-0039139),T.Wallace (00-0036630),I.Likely (00-0037838),Baltimore Ravens Defense (DST_BAL),59914,153.7,199.7,0.41
