QB,RB,RB,WR,WR,WR,TE,FLEX,D
Jalen Hurts,Nick Chubb,Kyle Monangai,Amon-Ra St. Brown,Nico Collins,DeVonta Smith,Brock Bowers,,Baltimore Ravens
Jalen Hurts,Ashton Jeanty,Nick Chubb,Amon-Ra St. Brown,Nico Collins,DeVonta Smith,Brock Bowers,,Baltimore Ravens
Jalen Hurts,Nick Chubb,Kyle Monangai,Amon-Ra St. Brown,Nico Collins,DeVonta Smith,Brock Bowers,,Indianapolis Colts
Jalen Hurts,Ashton Jeanty,Nick Chubb,Amon-Ra St. Brown,Nico Collins,DeVonta Smith,Brock Bowers,,Indianapolis Colts
Jalen Hurts,Nick Chubb,Kyle Monangai,Amon-Ra St. Brown,Nico Collins,DeVonta Smith,Brock Bowers,,Houston Texans
