Lineup,Player_1,Player_2,Player_3,Player_4,Player_5,Player_6,Player_7,Player_8,Player_9,Total_Salary,Projected_Points,Contest_Type
1,D.Prescott (QB) $10203,C.Samuel (WR) $5284,S.Barkley (RB) $9500,T.Pollard (RB) $6212,J.Jennings (WR) $8836,T.Tremble (TE) $4208,D.Douglas (WR) $6723,DET Defense (DST) $4500,LAR Kicker (K) $4500,59966,157.78,cash
2,D.Prescott (QB) $10203,C.Samuel (WR) $5284,S.Barkley (RB) $9500,J.Jacobs (RB) $6246,J.Jennings (WR) $8836,T.Tremble (TE) $4208,D.Douglas (WR) $6723,KC Defense (DST) $4500,ATL Kicker (K) $4500,60000,157.52,cash
3,D.Prescott (QB) $10203,C.Samuel (WR) $5284,S.Barkley (RB) $9500,T.Pollard (RB) $6212,J.Jennings (WR) $8836,D.Mooney (WR) $6744,T.Tremble (TE) $4208,MIN Defense (DST) $4500,GB Kicker (K) $4500,59987,156.98,cash
4,D.Prescott (QB) $10203,D.Ogunbowale (RB) $5845,R.McCloud (WR) $5499,S.Barkley (RB) $9500,J.Jennings (WR) $8836,D.Smith (WR) $6779,T.Tremble (TE) $4208,LAC Defense (DST) $4500,JAX Kicker (K) $4500,59870,156.88,cash
5,D.Prescott (QB) $10203,C.Samuel (WR) $5284,S.Barkley (RB) $9500,T.Pollard (RB) $6212,J.Jennings (WR) $8836,T.Tremble (TE) $4208,D.Douglas (WR) $6723,NO Defense (DST) $4500,CAR Kicker (K) $4500,59966,156.13,cash
