Lineup,QB,RB,WR,TE,DST,Total_Salary,Projected_Points,Ownership_Total,Correlation_Score
1,J.Daniels (00-0039910),J.Gibbs (00-0039139),K.Shakir (00-0037261),T.Higbee (00-0033110),Atlanta Falcons Defense (DST_ATL),59975,155.28,199.9,0.41
2,J.Daniels (00-0039910),J.Gibbs (00-0039139),J.Williams (00-0037240),T.Higbee (00-0033110),Baltimore Ravens Defense (DST_BAL),59969,155.18,199.9,0.41
3,J.Daniels (00-0039910),J.Gibbs (00-0039139),A.St. Brown (00-0036963),Z.Ertz (00-0030061),Atlanta Falcons Defense (DST_ATL),59983,155.03,199.9,0.41
4,J.Daniels (00-0039910),J.Gibbs (00-0039139),J.Williams (00-0037240),T.Higbee (00-0033110),Baltimore Ravens Defense (DST_BAL),59840,155.03,199.5,0.41
5,J.Daniels (00-0039910),J.Gibbs (00-0039139),K.Coleman (00-0039901),T.Higbee (00-0033110),Baltimore Ravens Defense (DST_BAL),59920,155.03,199.7,0.41
