QB,RB,RB,WR,WR,WR,TE,FLEX,D
Jalen Hurts,James Cook III,Ashton Jeanty,Nico Collins,A.J. Brown,Zay Flowers,Brock Bowers,,Houston Texans
Jalen Hurts,James Cook III,Ashton Jeanty,Nico Collins,A.J. Brown,Zay Flowers,Brock Bowers,,Indianapolis Colts
Jalen Hurts,Ashton Jeanty,David Montgomery,Nico Collins,A.J. Brown,Zay Flowers,Brock Bowers,,Indianapolis Colts
Jalen Hurts,Ashton Jeanty,David Montgomery,Nico Collins,A.J. Brown,Zay Flowers,Brock Bowers,,Houston Texans
Jalen Hurts,James Cook III,Ashton Jeanty,Nico Collins,A.J. Brown,Zay Flowers,Brock Bowers,,Washington Commanders
