Lineup,Player_1,Player_2,Player_3,Player_4,Player_5,Player_6,Player_7,Player_8,Player_9,Total_Salary,Projected_Points,Contest_Type
1,J.Goff (QB) $8259,R.McCloud (WR) $5333,S.Barkley (RB) $9295,J.Jacobs (RB) $5819,J.Jennings (WR) $9053,J.Chase (WR) $8991,T.Tremble (TE) $4224,CAR Defense (DST) $4500,CLE Kicker (K) $4500,59974,165.39,gpp
2,J.Goff (QB) $8259,J.Reynolds (WR) $5394,S.Barkley (RB) $9295,T.Pollard (RB) $5966,J.Jennings (WR) $9053,T.Tremble (TE) $4224,R.Rice (WR) $8790,DEN Defense (DST) $4500,DET Kicker (K) $4500,59981,164.46,gpp
3,J.Goff (QB) $8259,R.McCloud (WR) $5333,S.Barkley (RB) $9295,J.Jacobs (RB) $5819,J.Jennings (WR) $9053,J.Chase (WR) $8991,T.Tremble (TE) $4224,DEN Defense (DST) $4500,IND Kicker (K) $4500,59974,164.01,gpp
4,J.Goff (QB) $8259,R.McCloud (WR) $5333,S.Barkley (RB) $9295,J.Jacobs (RB) $5819,J.Jennings (WR) $9053,J.Chase (WR) $8991,T.Tremble (TE) $4224,JAX Defense (DST) $4500,TEN Kicker (K) $4500,59974,163.1,gpp
5,J.Goff (QB) $8259,R.McCloud (WR) $5333,S.Barkley (RB) $9295,T.Pollard (RB) $5966,J.Jennings (WR) $9053,T.Tremble (TE) $4224,R.Rice (WR) $8790,CLE Defense (DST) $4500,JAX Kicker (K) $4500,59920,162.55,gpp
6,J.Goff (QB) $8259,R.McCloud (WR) $5333,S.Barkley (RB) $9295,J.Jacobs (RB) $5819,J.Jennings (WR) $9053,J.Chase (WR) $8991,T.Tremble (TE) $4224,TB Defense (DST) $4500,CLE Kicker (K) $4500,59974,161.81,gpp
7,J.Goff (QB) $8259,R.McCloud (WR) $5333,S.Barkley (RB) $9295,J.Jacobs (RB) $5819,J.Jennings (WR) $9053,J.Chase (WR) $8991,T.Tremble (TE) $4224,CIN Defense (DST) $4500,PHI Kicker (K) $4500,59974,160.85,gpp
8,J.Reynolds (WR) $5394,S.Barkley (RB) $9295,T.Pollard (RB) $5966,J.Jennings (WR) $9053,T.Tremble (TE) $4224,R.Rice (WR) $8790,W.Levis (QB) $8225,CLE Defense (DST) $4500,DEN Kicker (K) $4500,59947,160.26,gpp
9,J.Goff (QB) $8259,R.McCloud (WR) $5333,S.Barkley (RB) $9295,J.Jacobs (RB) $5819,J.Jennings (WR) $9053,J.Chase (WR) $8991,T.Tremble (TE) $4224,NE Defense (DST) $4500,CIN Kicker (K) $4500,59974,158.65,gpp
10,J.Goff (QB) $8259,R.McCloud (WR) $5333,S.Barkley (RB) $9295,J.Jacobs (RB) $5819,J.Jennings (WR) $9053,T.Tremble (TE) $4224,R.Rice (WR) $8790,SF Defense (DST) $4500,NYG Kicker (K) $4500,59773,158.97,gpp
