QB,RB,RB,WR,WR,WR,TE,FLEX,D
Geno Smith,James Cook III,Nick Chubb,Amon-Ra St. Brown,Nico Collins,DJ Moore,Brock Bowers,,Detroit Lions
Geno Smith,James Cook III,Nick Chubb,Amon-Ra St. Brown,Nico Collins,DeVonta Smith,Brock Bowers,,Detroit Lions
Geno Smith,James Cook III,Nick Chubb,Amon-Ra St. Brown,Nico Collins,Tetairoa McMillan,Brock Bowers,,Detroit Lions
Geno Smith,James Cook III,Nick Chubb,Amon-Ra St. Brown,Nico Collins,DJ Moore,Brock Bowers,,Baltimore Ravens
Geno Smith,James Cook III,Nick Chubb,Amon-Ra St. Brown,Nico Collins,DeVonta Smith,Brock Bowers,,Baltimore Ravens
