Lineup,QB,RB,RB2,WR,WR2,WR3,TE,FLEX,D,Total_Salary,Projected_Points,Ownership_Total,Correlation_Score
1,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),K.Raymond (00-0032464),A.Brown (00-0035676),N.Collins (00-0036554),I.Likely (00-0037838),,Baltimore Ravens Defense (DST_BAL),59961,159.1,199.9,0.41
2,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),K.Raymond (00-0032464),C.Kupp (00-0033908),N.Collins (00-0036554),T.Higbee (00-0033110),,Baltimore Ravens Defense (DST_BAL),59779,159.03,199.3,0.41
3,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),K.Raymond (00-0032464),C.Kupp (00-0033908),T.McLaurin (00-0035659),I.Likely (00-0037838),,Atlanta Falcons Defense (DST_ATL),59971,158.73,199.9,0.41
4,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),K.Raymond (00-0032464),N.Collins (00-0036554),D.Brown (00-0036626),T.Higbee (00-0033110),,Baltimore Ravens Defense (DST_BAL),59785,158.43,199.3,0.41
5,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),K.Raymond (00-0032464),R.Bateman (00-0036550),N.Collins (00-0036554),T.Kelce (00-0030506),,Baltimore Ravens Defense (DST_BAL),59954,158.3,199.8,0.41
6,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),K.Raymond (00-0032464),T.McLaurin (00-0035659),D.Brown (00-0036626),I.Likely (00-0037838),,Arizona Cardinals Defense (DST_ARI),59977,158.13,199.9,0.28
7,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),C.Kupp (00-0033908),N.Collins (00-0036554),J.Dotson (00-0037741),Z.Ertz (00-0030061),,Baltimore Ravens Defense (DST_BAL),59957,157.73,199.9,0.515
8,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),K.Raymond (00-0032464),N.Collins (00-0036554),D.Brown (00-0036626),Z.Ertz (00-0030061),,Baltimore Ravens Defense (DST_BAL),59640,157.63,198.8,0.41
9,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),C.Kupp (00-0033908),N.Collins (00-0036554),J.Dotson (00-0037741),I.Likely (00-0037838),,Baltimore Ravens Defense (DST_BAL),59904,157.43,199.7,0.515
10,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),K.Raymond (00-0032464),N.Collins (00-0036554),D.Brown (00-0036626),I.Likely (00-0037838),,Baltimore Ravens Defense (DST_BAL),59587,157.33,198.6,0.41
