QB,RB,RB,WR,WR,WR,TE,FLEX,D
Jalen Hurts,Saquon Barkley,Ashton Jeanty,Amon-Ra St. Brown,Nico Collins,Zay Flowers,Brock Bowers,,Indianapolis Colts
Jalen Hurts,Derrick Henry,Ashton Jeanty,Amon-Ra St. Brown,Nico Collins,Zay Flowers,Brock Bowers,,Indianapolis Colts
Jalen Hurts,Ashton Jeanty,Nick Chubb,Amon-Ra St. Brown,Nico Collins,Zay Flowers,Brock Bowers,,Indianapolis Colts
Geno Smith,Saquon Barkley,Ashton Jeanty,Amon-Ra St. Brown,Nico Collins,Zay Flowers,Brock Bowers,,Indianapolis Colts
Geno Smith,Derrick Henry,Ashton Jeanty,Amon-Ra St. Brown,Nico Collins,Zay Flowers,Brock Bowers,,Indianapolis Colts
