Lineup,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,Salary,Projected,Ownership
1,Caleb Williams,Jonathan Taylor,James Cook III,Rome Odunze,Quentin Johnston,Chris Godwin Jr.,Hunter Henry,Tre Tucker,Carolina Panthers,59700,169.8,156.0
2,Lamar Jackson,Jonathan Taylor,James Cook III,Zay Flowers,Keenan Allen,Chris Godwin Jr.,Jack Stoll,Tre Tucker,Carolina Panthers,59900,164.2,156.0
