Lineup,Player_1,Player_2,Player_3,Player_4,Player_5,Player_6,Player_7,Player_8,Player_9,Total_Salary,Projected_Points,Contest_Type
1,Caleb Williams (QB) $7500,Jonathan Taylor (RB) $9500,David Montgomery (RB) $6700,Puka Nacua (WR) $9400,Rome Odunze (WR) $7200,Chris Godwin Jr. (WR) $6100,Brock Wright (TE) $4500,Tre Tucker (WR) $6000,Tampa Bay Buccaneers (D) $3100,60000,167.1,gpp
2,Lamar Jackson (QB) $8700,Jonathan Taylor (RB) $9500,James Cook III (RB) $8500,Amon-Ra St. Brown (WR) $8800,Chris Godwin Jr. (WR) $6100,Tre Tucker (WR) $6000,Jack Stoll (TE) $4100,Devontez Walker (WR) $4400,Carolina Panthers (D) $3200,59300,162.97,gpp
3,Daniel Jones (QB) $7400,Jonathan Taylor (RB) $9500,James Cook III (RB) $8500,Amon-Ra St. Brown (WR) $8800,Quentin Johnston (WR) $6200,Tre Tucker (WR) $6000,Brock Wright (TE) $4500,Michael Pittman Jr. (WR) $5800,Carolina Panthers (D) $3200,59900,166.51,gpp
