Lineup,QB,RB,RB2,WR,WR2,WR3,TE,FLEX,D,Total_Salary,Projected_Points,Ownership_Total,Correlation_Score
1,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),T.McLaurin (00-0035659),D.Smith (00-0036912),J.Whittington (00-0039751),D.Schultz (00-0034383),,Baltimore Ravens Defense (DST_BAL),59906,151.93,199.7,0.515
2,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),T.McLaurin (00-0035659),P.Nacua (00-0039075),J.Whittington (00-0039751),B.Sinnott (00-0039912),,Baltimore Ravens Defense (DST_BAL),59987,151.33,200.0,0.28
3,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),O.Zaccheaus (00-0035208),D.Smith (00-0036912),P.Nacua (00-0039075),D.Schultz (00-0034383),,Baltimore Ravens Defense (DST_BAL),59912,151.23,199.7,0.515
4,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),D.Smith (00-0036912),P.Nacua (00-0039075),J.Whittington (00-0039751),D.Schultz (00-0034383),,Baltimore Ravens Defense (DST_BAL),59912,151.23,199.7,0.393
5,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),O.Zaccheaus (00-0035208),N.Collins (00-0036554),J.Whittington (00-0039751),T.Higbee (00-0033110),,Baltimore Ravens Defense (DST_BAL),59955,151.23,199.8,0.41
6,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),J.Williams (00-0037240),J.Wayne (00-0038728),J.Whittington (00-0039751),T.Higbee (00-0033110),,Baltimore Ravens Defense (DST_BAL),59991,151.13,200.0,0.41
7,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),C.Kupp (00-0033908),O.Zaccheaus (00-0035208),A.Brown (00-0035676),T.Kelce (00-0030506),,Baltimore Ravens Defense (DST_BAL),59978,150.77,199.9,0.41
8,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),O.Zaccheaus (00-0035208),N.Collins (00-0036554),D.Smith (00-0036912),T.Kelce (00-0030506),,Baltimore Ravens Defense (DST_BAL),59851,150.5,199.5,0.515
9,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),N.Collins (00-0036554),D.Smith (00-0036912),J.Wayne (00-0038728),T.Kelce (00-0030506),,Baltimore Ravens Defense (DST_BAL),59907,150.5,199.7,0.393
10,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),N.Collins (00-0036554),J.Wayne (00-0038728),J.Whittington (00-0039751),Z.Ertz (00-0030061),,Baltimore Ravens Defense (DST_BAL),59850,150.43,199.5,0.28
