QB,RB,RB,WR,WR,WR,TE,FLEX,D
Daniel Jones,James Cook III,David Montgomery,Amon-Ra St. Brown,Nico Collins,Zay Flowers,Brock Bowers,,Indianapolis Colts
Daniel Jones,Ashton Jeanty,David Montgomery,Amon-Ra St. Brown,Nico Collins,Zay Flowers,Brock Bowers,,Indianapolis Colts
Daniel Jones,James Cook III,David Montgomery,Nico Collins,Zay Flowers,DJ Moore,Brock Bowers,,Indianapolis Colts
Daniel Jones,Ashton Jeanty,David Montgomery,Nico Collins,Zay Flowers,DJ Moore,Brock Bowers,,Indianapolis Colts
Daniel Jones,David Montgomery,Jeremy McNichols,Amon-Ra St. Brown,Nico Collins,Zay Flowers,Brock Bowers,,Indianapolis Colts
