Lineup,Player_1,Player_2,Player_3,Player_4,Player_5,Player_6,Player_7,Player_8,Player_9,Total_Salary,Projected_Points,Contest_Type
1,Jonathan Taylor (RB) $9500,Christian McCaffrey (RB) $9300,Josh Allen (QB) $9000,Saquon Barkley (RB) $8700,Michael Pittman Jr. (WR) $5800,Elijah Moore (WR) $5000,Indianapolis Colts (D) $4700,Cade Stover (TE) $4000,Treylon Burks (WR) $4000,60000,231.61,cash
2,Jonathan Taylor (RB) $9500,Christian McCaffrey (RB) $9300,Derrick Henry (RB) $9000,Lamar Jackson (QB) $8700,Darnell Mooney (WR) $5700,Buffalo Bills (D) $5000,Tyler Lockett (WR) $4800,Marcus Jones (WR) $4000,Tucker Fisk (TE) $4000,60000,231.56,cash
3,Jonathan Taylor (RB) $9500,Christian McCaffrey (RB) $9300,Lamar Jackson (QB) $8700,Jahmyr Gibbs (RB) $8300,Ricky Pearsall (WR) $6300,Buffalo Bills (D) $5000,Luther Burden III (WR) $4900,LaJohntay Wester (WR) $4000,Jake Briningstool (TE) $4000,60000,231.3,cash
4,Jonathan Taylor (RB) $9500,Derrick Henry (RB) $9000,Josh Allen (QB) $9000,James Cook III (RB) $8500,Hollywood Brown (WR) $5900,Buffalo Bills (D) $5000,Xavier Hutchinson (WR) $4800,Tutu Atwell (WR) $4300,Zach Horton (TE) $4000,60000,230.32,cash
5,Jonathan Taylor (RB) $9500,Josh Allen (QB) $9000,Bijan Robinson (RB) $8900,Kyren Williams (RB) $7800,Zay Flowers (WR) $7300,Detroit Lions (D) $4900,Devontez Walker (WR) $4400,Beaux Collins (WR) $4200,Danny Pinter (TE) $4000,60000,228.54,cash
