QB,RB,RB,WR,WR,WR,TE,FLEX,D
Jalen Hurts,James Cook III,Nick Chubb,A.J. Brown,Zay Flowers,Deebo Samuel Sr.,Brock Bowers,,Houston Texans
Jalen Hurts,James Cook III,Nick Chubb,A.J. Brown,Zay Flowers,Deebo Samuel Sr.,Brock Bowers,,Buffalo Bills
Jalen Hurts,Nick Chubb,Chris Rodriguez Jr.,A.J. Brown,Zay Flowers,Deebo Samuel Sr.,Brock Bowers,,Houston Texans
Jalen Hurts,Nick Chubb,Chris Rodriguez Jr.,A.J. Brown,Zay Flowers,Deebo Samuel Sr.,Brock Bowers,,Buffalo Bills
Jalen Hurts,James Cook III,Nick Chubb,A.J. Brown,Zay Flowers,DeVonta Smith,Brock Bowers,,Houston Texans
