QB,RB,RB,WR,WR,WR,TE,FLEX,D
Jalen Hurts,Ashton Jeanty,Nick Chubb,Amon-Ra St. Brown,Nico Collins,DJ Moore,Brock Bowers,,Detroit Lions
Daniel Jones,Ashton Jeanty,Nick Chubb,Amon-Ra St. Brown,Nico Collins,DJ Moore,Brock Bowers,,Detroit Lions
Jalen Hurts,James Cook III,Ashton Jeanty,Amon-Ra St. Brown,Nico Collins,DJ Moore,Brock Bowers,,Detroit Lions
Daniel Jones,James Cook III,Ashton Jeanty,Amon-Ra St. Brown,Nico Collins,DJ Moore,Brock Bowers,,Detroit Lions
Marcus Mariota,Ashton Jeanty,Nick Chubb,Amon-Ra St. Brown,Nico Collins,DJ Moore,Brock Bowers,,Detroit Lions
