Lineup,Player_1,Player_2,Player_3,Player_4,Player_5,Player_6,Player_7,Player_8,Player_9,Total_Salary,Projected_Points,Contest_Type
1,Jonathan Taylor (RB) $9500,Bijan Robinson (RB) $8900,Lamar Jackson (QB) $8700,Saquon Barkley (RB) $8700,Hollywood Brown (WR) $5900,Calvin Ridley (WR) $5400,Detroit Lions (D) $4900,Stephen Gosnell (WR) $4000,Jake Briningstool (TE) $4000,60000,232.78,gpp
2,Josh Allen (QB) $9000,Saquon Barkley (RB) $8700,James Cook III (RB) $8500,Jahmyr Gibbs (RB) $8300,Jerry Jeudy (WR) $5700,Rashid Shaheed (WR) $5500,Sterling Shepard (WR) $5300,Buffalo Bills (D) $5000,Sean McKeon (TE) $4000,60000,232.24,gpp
3,Jonathan Taylor (RB) $9500,Josh Allen (QB) $9000,James Cook III (RB) $8500,Alvin Kamara (RB) $7500,Xavier Worthy (WR) $6700,Christian Kirk (WR) $5500,Detroit Lions (D) $4900,Devontez Walker (WR) $4400,Tre Watson (TE) $4000,60000,230.86,gpp
4,Jonathan Taylor (RB) $9500,Christian McCaffrey (RB) $9300,Jalen Hurts (QB) $8500,Kyren Williams (RB) $7800,Stefon Diggs (WR) $5600,Christian Kirk (WR) $5500,Detroit Lions (D) $4900,Ray-Ray McCloud III (WR) $4900,Joel Wilson (TE) $4000,60000,229.64,gpp
5,Christian McCaffrey (RB) $9300,Derrick Henry (RB) $9000,Josh Allen (QB) $9000,Bijan Robinson (RB) $8900,Elic Ayomanor (WR) $5400,Josh Downs (WR) $5100,Buffalo Bills (D) $5000,Tutu Atwell (WR) $4300,Teagan Quitoriano (TE) $4000,60000,229.31,gpp
