QB,RB,RB,WR,WR,WR,TE,FLEX,D
Marcus Mariota,James Cook III,Craig Reynolds,Terry McLaurin,Keon Coleman,Rashod Bateman,Tyler Ott,,Baltimore Ravens
Josh Allen,Jacob Saylors,Reggie Gilliam,DeVonta Smith,Deebo Samuel Sr.,Joshua Palmer,Mark Andrews,,Detroit Lions
Marcus Mariota,Ty Johnson,Craig Reynolds,Jameson Williams,Keon Coleman,Tylan Wallace,Sam LaPorta,,Baltimore Ravens
Josh Allen,Derrick Henry,Jeremy McNichols,Jahan Dotson,Kalif Raymond,Devontez Walker,Mark Andrews,,Detroit Lions
Josh Allen,Derrick Henry,Jeremy McNichols,Jahan Dotson,Kalif Raymond,Devontez Walker,Tyler Ott,,Detroit Lions
Josh Allen,Derrick Henry,Jeremy McNichols,Jahan Dotson,Kalif Raymond,Devontez Walker,Sam LaPorta,,Detroit Lions
Josh Allen,Derrick Henry,Jeremy McNichols,Noah Brown,Jahan Dotson,Devontez Walker,Sam LaPorta,,Detroit Lions
Malik Cunningham,Jahmyr Gibbs,Craig Reynolds,Terry McLaurin,Keon Coleman,Rashod Bateman,Tyler Ott,,Baltimore Ravens
Jayden Daniels,Jeremy McNichols,Justice Hill,DeVonta Smith,DeAndre Hopkins,Kalif Raymond,Tyler Ott,,Detroit Lions
Jayden Daniels,Jeremy McNichols,Justice Hill,DeVonta Smith,Deebo Samuel Sr.,Kalif Raymond,Grant Calcaterra,,Washington Commanders
Lamar Jackson,Derrick Henry,Jeremy McNichols,DeVonta Smith,Kalif Raymond,Jaylin Lane,Grant Calcaterra,,Washington Commanders
Lamar Jackson,Derrick Henry,Jeremy McNichols,DeVonta Smith,Jaylin Lane,Cornelius Johnson,Grant Calcaterra,,Washington Commanders
Jayden Daniels,Jeremy McNichols,Justice Hill,DeVonta Smith,Deebo Samuel Sr.,Kalif Raymond,Tyler Ott,,Detroit Lions
Jayden Daniels,Jeremy McNichols,Justice Hill,DeVonta Smith,Keon Coleman,Kalif Raymond,Tyler Ott,,Detroit Lions
Jayden Daniels,Jeremy McNichols,Justice Hill,DeVonta Smith,Kalif Raymond,Tyrell Shavers,Jackson Hawes,,Detroit Lions
Jayden Daniels,Justice Hill,Ty Johnson,DeVonta Smith,DeAndre Hopkins,Jaylin Lane,Mark Andrews,,Detroit Lions
Jayden Daniels,Chris Rodriguez Jr.,Justice Hill,DeVonta Smith,DeAndre Hopkins,Jaylin Lane,Mark Andrews,,Detroit Lions
Jalen Hurts,Saquon Barkley,Jacory Croskey-Merritt,Jahan Dotson,Devontez Walker,Jaylin Lane,Zach Ertz,,Detroit Lions
Jared Goff,Jacob Saylors,Reggie Gilliam,Rashod Bateman,Curtis Samuel,Jahan Dotson,Jackson Hawes,,Philadelphia Eagles
Jalen Hurts,Craig Reynolds,Jacob Saylors,Terry McLaurin,Jahan Dotson,Kalif Raymond,Jackson Hawes,,Philadelphia Eagles
