Lineup,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,Salary,Projected,Ownership
1,Caleb Williams,Jonathan Taylor,James Cook III,Rome Odunze,Xavier Worthy,Tre Tucker,Brock Wright,David Montgomery,Carolina Panthers,59800,173.9,159.0
2,Justin Herbert,Jonathan Taylor,James Cook III,Rome Odunze,Quentin Johnston,Chris Godwin Jr.,Brock Wright,Tre Tucker,Carolina Panthers,59100,169.2,156.0
3,Lamar Jackson,Jonathan Taylor,James Cook III,Zay Flowers,Quentin Johnston,Chris Godwin Jr.,Charlie Woerner,Tre Tucker,Atlanta Falcons,59900,166.0,156.0
