Lineup,Player_1,Player_2,Player_3,Player_4,Player_5,Player_6,Player_7,Player_8,Player_9,Total_Salary,Projected_Points,Contest_Type
1,D.Ogunbowale (RB) $5845,S.Barkley (RB) $9500,J.Jennings (WR) $8836,T.Tremble (TE) $4208,D.Douglas (WR) $6723,R.Rice (WR) $8858,A.Richardson (QB) $6992,HOU Defense (DST) $4500,ATL Kicker (K) $4500,59962,162.61,gpp
2,D.Ogunbowale (RB) $5845,S.Barkley (RB) $9500,J.Jennings (WR) $8836,D.Mooney (WR) $6744,T.Tremble (TE) $4208,R.Rice (WR) $8858,A.Richardson (QB) $6992,SEA Defense (DST) $4500,NO Kicker (K) $4500,59983,162.07,gpp
3,D.Prescott (QB) $10203,C.Samuel (WR) $5284,S.Barkley (RB) $9500,J.Jacobs (RB) $6246,J.Jennings (WR) $8836,T.Tremble (TE) $4208,D.Douglas (WR) $6723,JAX Defense (DST) $4500,CHI Kicker (K) $4500,60000,164.31,gpp
4,D.Prescott (QB) $10203,C.Samuel (WR) $5284,S.Barkley (RB) $9500,T.Pollard (RB) $6212,J.Jennings (WR) $8836,D.Mooney (WR) $6744,T.Tremble (TE) $4208,LV Defense (DST) $4500,HOU Kicker (K) $4500,59987,164.35,gpp
5,D.Ogunbowale (RB) $5845,S.Barkley (RB) $9500,J.Jennings (WR) $8836,T.Tremble (TE) $4208,D.Douglas (WR) $6723,R.Rice (WR) $8858,A.Richardson (QB) $6992,CAR Defense (DST) $4500,WSH Kicker (K) $4500,59962,160.05,gpp
6,C.Samuel (WR) $5284,J.Conner (RB) $5770,S.Barkley (RB) $9500,J.Allen (QB) $10621,J.Jennings (WR) $8836,D.Smith (WR) $6779,T.Tremble (TE) $4208,DET Defense (DST) $4500,PIT Kicker (K) $4500,59998,164.33,gpp
7,D.Prescott (QB) $10203,C.Samuel (WR) $5284,S.Barkley (RB) $9500,T.Pollard (RB) $6212,J.Jennings (WR) $8836,D.Mooney (WR) $6744,T.Tremble (TE) $4208,LV Defense (DST) $4500,JAX Kicker (K) $4500,59987,163.39,gpp
8,D.Prescott (QB) $10203,C.Samuel (WR) $5284,S.Barkley (RB) $9500,T.Pollard (RB) $6212,J.Jennings (WR) $8836,T.Tremble (TE) $4208,D.Douglas (WR) $6723,LAC Defense (DST) $4500,DEN Kicker (K) $4500,59966,163.23,gpp
9,D.Prescott (QB) $10203,C.Samuel (WR) $5284,S.Barkley (RB) $9500,T.Pollard (RB) $6212,J.Jennings (WR) $8836,T.Tremble (TE) $4208,D.Douglas (WR) $6723,CLE Defense (DST) $4500,CAR Kicker (K) $4500,59966,160.92,gpp
10,D.Prescott (QB) $10203,C.Samuel (WR) $5284,S.Barkley (RB) $9500,T.Pollard (RB) $6212,J.Jennings (WR) $8836,D.Mooney (WR) $6744,T.Tremble (TE) $4208,DET Defense (DST) $4500,BUF Kicker (K) $4500,59987,160.96,gpp
