QB,RB,RB,WR,WR,WR,TE,FLEX,D
Daniel Jones,Ashton Jeanty,David Montgomery,Amon-Ra St. Brown,Nico Collins,Zay Flowers,Brock Bowers,,Washington Commanders
Daniel Jones,Ashton Jeanty,Chris Rodriguez Jr.,Amon-Ra St. Brown,Nico Collins,Zay Flowers,Brock Bowers,,Washington Commanders
Daniel Jones,Derrick Henry,Ashton Jeanty,Amon-Ra St. Brown,Nico Collins,Zay Flowers,Brock Bowers,,Washington Commanders
Daniel Jones,Ashton Jeanty,David Montgomery,Amon-Ra St. Brown,Nico Collins,Zay Flowers,Brock Bowers,,Indianapolis Colts
Daniel Jones,James Cook III,Ashton Jeanty,Amon-Ra St. Brown,Nico Collins,Zay Flowers,Brock Bowers,,Washington Commanders
