QB,RB,RB,WR,WR,WR,TE,FLEX,D
Daniel Jones,Ashton Jeanty,Nick Chubb,Amon-Ra St. Brown,Nico Collins,DeVonta Smith,Brock Bowers,,Detroit Lions
Daniel Jones,Ashton Jeanty,Nick Chubb,Amon-Ra St. Brown,Nico Collins,DeVonta Smith,Tyler Warren,,Detroit Lions
Malik Cunningham,Ashton Jeanty,Nick Chubb,Amon-Ra St. Brown,Nico Collins,DeVonta Smith,Brock Bowers,,Detroit Lions
Daniel Jones,Ashton Jeanty,Nick Chubb,Amon-Ra St. Brown,Nico Collins,A.J. Brown,Brock Bowers,,Detroit Lions
Geno Smith,Ashton Jeanty,Nick Chubb,Amon-Ra St. Brown,Nico Collins,DeVonta Smith,Brock Bowers,,Detroit Lions
