Lineup,QB,RB,RB2,WR,WR2,WR3,TE,FLEX,D,Total_Salary,Projected_Points,Ownership_Total,Correlation_Score
1,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),K.Raymond (00-0032464),A.Brown (00-0035676),J.Williams (00-0037240),T.Kelce (00-0030506),,Baltimore Ravens Defense (DST_BAL),59648,154.37,198.8,0.28
2,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),A.Brown (00-0035676),J.Williams (00-0037240),J.Dotson (00-0037741),T.Kelce (00-0030506),,Baltimore Ravens Defense (DST_BAL),59726,153.87,199.1,0.393
3,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),K.Raymond (00-0032464),A.Brown (00-0035676),D.Smith (00-0036912),I.Likely (00-0037838),,Arizona Cardinals Defense (DST_ARI),59998,153.5,200.0,0.393
4,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),K.Raymond (00-0032464),J.Williams (00-0037240),J.Dotson (00-0037741),Z.Ertz (00-0030061),,Baltimore Ravens Defense (DST_BAL),59797,153.23,199.3,0.393
5,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),K.Raymond (00-0032464),J.Williams (00-0037240),J.Dotson (00-0037741),I.Likely (00-0037838),,Baltimore Ravens Defense (DST_BAL),59600,152.93,198.7,0.393
