Lineup,Player_1,Player_2,Player_3,Player_4,Player_5,Player_6,Player_7,Player_8,Player_9,Total_Salary,Projected_Points,Contest_Type
1,J.Goff (QB) $8259,R.McCloud (WR) $5333,S.Barkley (RB) $9295,J.Jacobs (RB) $5819,J.Jennings (WR) $9053,J.Chase (WR) $8991,T.Tremble (TE) $4224,BAL Defense (DST) $4500,TB Kicker (K) $4500,59974,165.13,gpp
2,J.Goff (QB) $8259,J.Reynolds (WR) $5394,S.Barkley (RB) $9295,J.Jacobs (RB) $5819,J.Jennings (WR) $9053,T.Tremble (TE) $4224,R.Rice (WR) $8790,NYG Defense (DST) $4500,PIT Kicker (K) $4500,59834,164.86,gpp
3,J.Goff (QB) $8259,J.Reynolds (WR) $5394,S.Barkley (RB) $9295,T.Pollard (RB) $5966,J.Jennings (WR) $9053,T.Tremble (TE) $4224,R.Rice (WR) $8790,DEN Defense (DST) $4500,MIA Kicker (K) $4500,59981,164.04,gpp
4,J.Goff (QB) $8259,R.McCloud (WR) $5333,S.Barkley (RB) $9295,T.Pollard (RB) $5966,J.Jennings (WR) $9053,T.Tremble (TE) $4224,R.Rice (WR) $8790,TB Defense (DST) $4500,TEN Kicker (K) $4500,59920,163.3,gpp
5,J.Goff (QB) $8259,R.McCloud (WR) $5333,S.Barkley (RB) $9295,J.Jacobs (RB) $5819,J.Jennings (WR) $9053,J.Chase (WR) $8991,T.Tremble (TE) $4224,NO Defense (DST) $4500,DAL Kicker (K) $4500,59974,162.74,gpp
6,J.Goff (QB) $8259,R.McCloud (WR) $5333,S.Barkley (RB) $9295,J.Jacobs (RB) $5819,J.Jennings (WR) $9053,J.Chase (WR) $8991,T.Tremble (TE) $4224,SF Defense (DST) $4500,NO Kicker (K) $4500,59974,162.59,gpp
7,J.Goff (QB) $8259,R.McCloud (WR) $5333,S.Barkley (RB) $9295,J.Jacobs (RB) $5819,J.Jennings (WR) $9053,J.Chase (WR) $8991,T.Tremble (TE) $4224,NYG Defense (DST) $4500,CIN Kicker (K) $4500,59974,162.34,gpp
8,J.Goff (QB) $8259,R.McCloud (WR) $5333,S.Barkley (RB) $9295,J.Jacobs (RB) $5819,J.Jennings (WR) $9053,J.Chase (WR) $8991,T.Tremble (TE) $4224,LV Defense (DST) $4500,DAL Kicker (K) $4500,59974,161.94,gpp
9,R.McCloud (WR) $5333,S.Barkley (RB) $9295,J.Jacobs (RB) $5819,J.Jennings (WR) $9053,T.Tremble (TE) $4224,R.Rice (WR) $8790,W.Levis (QB) $8225,ATL Defense (DST) $4500,NYG Kicker (K) $4500,59739,161.75,gpp
10,J.Goff (QB) $8259,R.McCloud (WR) $5333,S.Barkley (RB) $9295,J.Jacobs (RB) $5819,J.Jennings (WR) $9053,T.Tremble (TE) $4224,M.Nabers (WR) $8999,TEN Defense (DST) $4500,CAR Kicker (K) $4500,59982,161.53,gpp
11,J.Goff (QB) $8259,R.McCloud (WR) $5333,S.Barkley (RB) $9295,T.Pollard (RB) $5966,J.Jennings (WR) $9053,T.Tremble (TE) $4224,R.Rice (WR) $8790,IND Defense (DST) $4500,HOU Kicker (K) $4500,59920,160.13,gpp
12,J.Goff (QB) $8259,R.McCloud (WR) $5333,S.Barkley (RB) $9295,J.Jacobs (RB) $5819,J.Jennings (WR) $9053,J.Chase (WR) $8991,T.Tremble (TE) $4224,ARI Defense (DST) $4500,JAX Kicker (K) $4500,59974,159.72,gpp
13,J.Goff (QB) $8259,R.McCloud (WR) $5333,S.Barkley (RB) $9295,J.Jacobs (RB) $5819,J.Jennings (WR) $9053,J.Chase (WR) $8991,T.Tremble (TE) $4224,TEN Defense (DST) $4500,NYJ Kicker (K) $4500,59974,159.48,gpp
14,J.Goff (QB) $8259,R.McCloud (WR) $5333,S.Barkley (RB) $9295,T.Pollard (RB) $5966,J.Jennings (WR) $9053,T.Tremble (TE) $4224,R.Rice (WR) $8790,HOU Defense (DST) $4500,DEN Kicker (K) $4500,59920,159.67,gpp
15,R.McCloud (WR) $5333,S.Barkley (RB) $9295,T.Pollard (RB) $5966,J.Jennings (WR) $9053,T.Tremble (TE) $4224,R.Rice (WR) $8790,W.Levis (QB) $8225,MIN Defense (DST) $4500,NE Kicker (K) $4500,59886,159.82,gpp
16,J.Goff (QB) $8259,R.McCloud (WR) $5333,S.Barkley (RB) $9295,J.Jacobs (RB) $5819,J.Jennings (WR) $9053,J.Chase (WR) $8991,T.Tremble (TE) $4224,CIN Defense (DST) $4500,LAC Kicker (K) $4500,59974,158.85,gpp
17,J.Goff (QB) $8259,J.Reynolds (WR) $5394,S.Barkley (RB) $9295,J.Jacobs (RB) $5819,J.Jennings (WR) $9053,T.Tremble (TE) $4224,R.Rice (WR) $8790,CHI Defense (DST) $4500,CIN Kicker (K) $4500,59834,158.89,gpp
18,J.Goff (QB) $8259,R.McCloud (WR) $5333,S.Barkley (RB) $9295,J.Jacobs (RB) $5819,J.Jennings (WR) $9053,J.Chase (WR) $8991,T.Tremble (TE) $4224,CAR Defense (DST) $4500,ARI Kicker (K) $4500,59974,158.48,gpp
19,J.Goff (QB) $8259,R.McCloud (WR) $5333,S.Barkley (RB) $9295,J.Jacobs (RB) $5819,J.Jennings (WR) $9053,J.Chase (WR) $8991,T.Tremble (TE) $4224,NO Defense (DST) $4500,TEN Kicker (K) $4500,59974,157.76,gpp
20,D.Prescott (QB) $10586,C.Sutton (WR) $6736,S.Barkley (RB) $9295,J.Jacobs (RB) $5819,J.Jennings (WR) $9053,T.Tremble (TE) $4224,J.Mingo (WR) $5219,MIA Defense (DST) $4500,CIN Kicker (K) $4500,59932,156.87,gpp
