Lineup,QB,RB,RB2,WR,WR2,WR3,TE,FLEX,D,Total_Salary,Projected_Points,Ownership_Total,Correlation_Score
1,J.Daniels (00-0039910),S.Barkley (00-0034844),J.Gibbs (00-0039139),C.Kupp (00-0033908),D.Smith (00-0036912),J.Williams (00-0037240),T.Higbee (00-0033110),,Baltimore Ravens Defense (DST_BAL),59953,160.73,199.8,0.41
2,J.Daniels (00-0039910),S.Barkley (00-0034844),J.Gibbs (00-0039139),C.Kupp (00-0033908),D.Smith (00-0036912),J.Williams (00-0037240),Z.Ertz (00-0030061),,Baltimore Ravens Defense (DST_BAL),59957,160.43,199.9,0.41
3,M.Stafford (00-0026498),S.Barkley (00-0034844),J.Gibbs (00-0039139),J.Smith-Schuster (00-0033857),A.St. Brown (00-0036963),J.Williams (00-0037240),T.Higbee (00-0033110),,Baltimore Ravens Defense (DST_BAL),59992,160.26,200.0,0.293
4,M.Stafford (00-0026498),S.Barkley (00-0034844),J.Gibbs (00-0039139),S.Sims (00-0034928),A.St. Brown (00-0036963),J.Williams (00-0037240),T.Higbee (00-0033110),,Baltimore Ravens Defense (DST_BAL),59976,160.26,199.9,0.293
5,M.Stafford (00-0026498),S.Barkley (00-0034844),J.Gibbs (00-0039139),S.Sims (00-0034928),A.St. Brown (00-0036963),J.Williams (00-0037240),Z.Ertz (00-0030061),,Baltimore Ravens Defense (DST_BAL),59980,159.96,199.9,0.28
6,J.Daniels (00-0039910),S.Barkley (00-0034844),J.Gibbs (00-0039139),S.Sims (00-0034928),R.Bateman (00-0036550),J.Williams (00-0037240),T.Higbee (00-0033110),,Baltimore Ravens Defense (DST_BAL),59999,159.73,200.0,0.28
7,J.Daniels (00-0039910),S.Barkley (00-0034844),J.Gibbs (00-0039139),C.Kupp (00-0033908),D.Smith (00-0036912),J.Williams (00-0037240),I.Likely (00-0037838),,Baltimore Ravens Defense (DST_BAL),59983,159.63,199.9,0.41
8,M.Stafford (00-0026498),S.Barkley (00-0034844),J.Gibbs (00-0039139),C.Kupp (00-0033908),A.St. Brown (00-0036963),J.Williams (00-0037240),T.Kelce (00-0030506),,Atlanta Falcons Defense (DST_ATL),59973,159.63,199.9,0.393
9,M.Stafford (00-0026498),S.Barkley (00-0034844),J.Gibbs (00-0039139),D.Smith (00-0036912),A.St. Brown (00-0036963),J.Williams (00-0037240),T.Kelce (00-0030506),,Baltimore Ravens Defense (DST_BAL),59978,159.53,199.9,0.28
10,J.Daniels (00-0039910),S.Barkley (00-0034844),J.Gibbs (00-0039139),K.Raymond (00-0032464),N.Collins (00-0036554),J.Williams (00-0037240),T.Higbee (00-0033110),,Baltimore Ravens Defense (DST_BAL),59893,159.43,199.6,0.28
