Lineup,QB,RB,WR,TE,DST,Total_Salary,Projected_Points,Ownership_Total,Correlation_Score
1,J.Hurts (00-0036389),J.Gibbs (00-0039139),K.Shakir (00-0037261),T.Kelce (00-0030506),Baltimore Ravens Defense (DST_BAL),59946,155.05,199.8,0.28
2,J.Hurts (00-0036389),J.Gibbs (00-0039139),A.Miller (00-0034353),T.Higbee (00-0033110),Baltimore Ravens Defense (DST_BAL),59992,154.63,200.0,0.28
3,J.Hurts (00-0036389),J.Gibbs (00-0039139),T.McLaurin (00-0035659),T.Kelce (00-0030506),Baltimore Ravens Defense (DST_BAL),59958,154.4,199.9,0.41
4,J.Hurts (00-0036389),J.Gibbs (00-0039139),T.McLaurin (00-0035659),T.Kelce (00-0030506),Baltimore Ravens Defense (DST_BAL),59903,154.4,199.7,0.41
5,J.Hurts (00-0036389),J.Gibbs (00-0039139),K.Shakir (00-0037261),T.Kelce (00-0030506),Arizona Cardinals Defense (DST_ARI),59962,153.92,199.9,0.41
6,J.Hurts (00-0036389),J.Gibbs (00-0039139),K.Shakir (00-0037261),T.Higbee (00-0033110),Arizona Cardinals Defense (DST_ARI),59986,153.88,200.0,0.41
7,J.Hurts (00-0036389),J.Gibbs (00-0039139),K.Shakir (00-0037261),S.LaPorta (00-0039065),Atlanta Falcons Defense (DST_ATL),59999,153.58,200.0,0.41
8,J.Hurts (00-0036389),J.Gibbs (00-0039139),K.Shakir (00-0037261),T.Higbee (00-0033110),Arizona Cardinals Defense (DST_ARI),59991,153.38,200.0,0.41
9,J.Hurts (00-0036389),J.Gibbs (00-0039139),C.Kupp (00-0033908),S.LaPorta (00-0039065),Baltimore Ravens Defense (DST_BAL),59960,153.33,199.9,0.28
10,J.Hurts (00-0036389),J.Gibbs (00-0039139),K.Shakir (00-0037261),D.Goedert (00-0034351),Baltimore Ravens Defense (DST_BAL),59973,153.25,199.9,0.28
