QB,RB,RB,WR,WR,WR,TE,FLEX,D
Jalen Hurts,James Cook III,Jahmyr Gibbs,Amon-Ra St. Brown,Nico Collins,Zay Flowers,Tyler Warren,,Baltimore Ravens
Jalen Hurts,James Cook III,David Montgomery,Amon-Ra St. Brown,Nico Collins,Zay Flowers,Brock Bowers,,Buffalo Bills
Jalen Hurts,James Cook III,David Montgomery,Amon-Ra St. Brown,Nico Collins,Zay Flowers,Brock Bowers,,Baltimore Ravens
Jalen Hurts,James Cook III,Jahmyr Gibbs,Amon-Ra St. Brown,Nico Collins,Zay Flowers,Zach Ertz,,Buffalo Bills
Jalen Hurts,James Cook III,Jahmyr Gibbs,Amon-Ra St. Brown,Nico Collins,Zay Flowers,Zach Ertz,,Baltimore Ravens
