Lineup,QB,RB,WR,TE,DST,Total_Salary,Projected_Points,Ownership_Total,Correlation_Score
1,J.Hurts (00-0036389),J.Gibbs (00-0039139),J.Wayne (00-0038728),T.Higbee (00-0033110),BAL Defense (DST_BAL),59922,156.73,199.7,0.393
2,J.Hurts (00-0036389),J.Gibbs (00-0039139),J.Wayne (00-0038728),T.Higbee (00-0033110),BAL Defense (DST_BAL),59922,156.73,199.7,0.393
3,J.Hurts (00-0036389),J.Gibbs (00-0039139),J.Wayne (00-0038728),T.Higbee (00-0033110),BAL Defense (DST_BAL),59922,156.73,199.7,0.393
4,J.Hurts (00-0036389),J.Gibbs (00-0039139),J.Wayne (00-0038728),T.Higbee (00-0033110),BAL Defense (DST_BAL),59922,156.73,199.7,0.393
5,J.Hurts (00-0036389),J.Gibbs (00-0039139),J.Wayne (00-0038728),T.Higbee (00-0033110),BAL Defense (DST_BAL),59922,156.73,199.7,0.393
