Lineup,QB,RB,RB2,WR,WR2,WR3,TE,FLEX,D,Total_Salary,Projected_Points,Ownership_Total,Correlation_Score
1,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),T.McLaurin (00-0035659),D.Smith (00-0036912),J.Whittington (00-0039751),D.Schultz (00-0034383),,Baltimore Ravens Defense (DST_BAL),59906,151.93,199.7,0.515
2,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),T.McLaurin (00-0035659),P.Nacua (00-0039075),J.Whittington (00-0039751),B.Sinnott (00-0039912),,Baltimore Ravens Defense (DST_BAL),59987,151.33,200.0,0.28
3,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),O.Zaccheaus (00-0035208),D.Smith (00-0036912),P.Nacua (00-0039075),D.Schultz (00-0034383),,Baltimore Ravens Defense (DST_BAL),59912,151.23,199.7,0.515
4,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),D.Smith (00-0036912),P.Nacua (00-0039075),J.Whittington (00-0039751),D.Schultz (00-0034383),,Baltimore Ravens Defense (DST_BAL),59912,151.23,199.7,0.393
5,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),O.Zaccheaus (00-0035208),N.Collins (00-0036554),J.Whittington (00-0039751),T.Higbee (00-0033110),,Baltimore Ravens Defense (DST_BAL),59955,151.23,199.8,0.41
6,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),J.Williams (00-0037240),J.Wayne (00-0038728),J.Whittington (00-0039751),T.Higbee (00-0033110),,Baltimore Ravens Defense (DST_BAL),59991,151.13,200.0,0.41
7,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),C.Kupp (00-0033908),O.Zaccheaus (00-0035208),A.Brown (00-0035676),T.Kelce (00-0030506),,Baltimore Ravens Defense (DST_BAL),59978,150.77,199.9,0.41
8,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),O.Zaccheaus (00-0035208),N.Collins (00-0036554),D.Smith (00-0036912),T.Kelce (00-0030506),,Baltimore Ravens Defense (DST_BAL),59851,150.5,199.5,0.515
9,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),N.Collins (00-0036554),D.Smith (00-0036912),J.Wayne (00-0038728),T.Kelce (00-0030506),,Baltimore Ravens Defense (DST_BAL),59907,150.5,199.7,0.393
10,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),N.Collins (00-0036554),J.Wayne (00-0038728),J.Whittington (00-0039751),Z.Ertz (00-0030061),,Baltimore Ravens Defense (DST_BAL),59850,150.43,199.5,0.28
11,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),M.Hollins (00-0033555),D.Smith (00-0036912),P.Nacua (00-0039075),B.Sinnott (00-0039912),,Baltimore Ravens Defense (DST_BAL),59990,150.18,200.0,0.515
12,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),O.Zaccheaus (00-0035208),N.Collins (00-0036554),J.Whittington (00-0039751),I.Likely (00-0037838),,Baltimore Ravens Defense (DST_BAL),59874,150.13,199.6,0.41
13,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),N.Collins (00-0036554),J.Wayne (00-0038728),J.Whittington (00-0039751),I.Likely (00-0037838),,Baltimore Ravens Defense (DST_BAL),59930,150.13,199.8,0.28
14,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),J.Williams (00-0037240),J.Wayne (00-0038728),J.Whittington (00-0039751),I.Likely (00-0037838),,Baltimore Ravens Defense (DST_BAL),59910,150.03,199.7,0.41
15,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),A.Brown (00-0035676),T.Wallace (00-0036630),J.Wayne (00-0038728),I.Likely (00-0037838),,Baltimore Ravens Defense (DST_BAL),59993,149.8,200.0,0.41
16,M.Stafford (00-0026498),S.Barkley (00-0034844),J.Gibbs (00-0039139),D.Smith (00-0036912),J.Williams (00-0037240),J.Whittington (00-0039751),T.Higbee (00-0033110),,Baltimore Ravens Defense (DST_BAL),59985,149.56,199.9,0.45
17,M.Stafford (00-0026498),S.Barkley (00-0034844),J.Gibbs (00-0039139),T.McLaurin (00-0035659),N.Collins (00-0036554),J.Wayne (00-0038728),T.Kelce (00-0030506),,Baltimore Ravens Defense (DST_BAL),59974,149.33,199.9,0.28
18,M.Stafford (00-0026498),S.Barkley (00-0034844),J.Gibbs (00-0039139),T.McLaurin (00-0035659),D.Smith (00-0036912),P.Nacua (00-0039075),B.Sinnott (00-0039912),,Atlanta Falcons Defense (DST_ATL),59987,149.26,200.0,0.515
19,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),K.Raymond (00-0032464),D.Smith (00-0036912),J.Whittington (00-0039751),I.Likely (00-0037838),,Baltimore Ravens Defense (DST_BAL),59832,149.23,199.4,0.515
20,M.Stafford (00-0026498),S.Barkley (00-0034844),J.Gibbs (00-0039139),C.Kupp (00-0033908),O.Zaccheaus (00-0035208),A.Brown (00-0035676),Z.Ertz (00-0030061),,Baltimore Ravens Defense (DST_BAL),59971,149.13,199.9,0.515
