Lineup,Player_1,Player_2,Player_3,Player_4,Player_5,Player_6,Player_7,Player_8,Player_9,Total_Salary,Projected_Points,Contest_Type
1,Jonathan Taylor (RB) $9500,Josh Allen (QB) $9000,Saquon Barkley (RB) $8700,Jahmyr Gibbs (RB) $8300,Keon Coleman (WR) $5700,Detroit Lions (D) $4900,Xavier Hutchinson (WR) $4800,Colston Loveland (TE) $4600,Xavier Legette (WR) $4500,60000,232.07,cash
2,Christian McCaffrey (RB) $9300,Bijan Robinson (RB) $8900,Lamar Jackson (QB) $8700,Jahmyr Gibbs (RB) $8300,Christian Kirk (WR) $5500,Sterling Shepard (WR) $5300,Indianapolis Colts (D) $4700,Tyler Higbee (TE) $4700,Tylan Wallace (WR) $4600,60000,231.43,cash
3,Bijan Robinson (RB) $8900,Lamar Jackson (QB) $8700,Saquon Barkley (RB) $8700,Jahmyr Gibbs (RB) $8300,Jerry Jeudy (WR) $5700,Keon Coleman (WR) $5700,Detroit Lions (D) $4900,Chimere Dike (WR) $4600,Brock Wright (TE) $4500,60000,231.81,cash
4,Jonathan Taylor (RB) $9500,Josh Allen (QB) $9000,Bijan Robinson (RB) $8900,Alvin Kamara (RB) $7500,Jameson Williams (WR) $6800,Indianapolis Colts (D) $4700,Tylan Wallace (WR) $4600,Luke Farrell (TE) $4500,Xavier Legette (WR) $4500,60000,230.37,cash
5,Jonathan Taylor (RB) $9500,Derrick Henry (RB) $9000,Josh Allen (QB) $9000,Kyren Williams (RB) $7800,Tre Tucker (WR) $6000,Buffalo Bills (D) $5000,Chimere Dike (WR) $4600,Michael Mayer (TE) $4600,Mack Hollins (WR) $4500,60000,230.33,cash
