"PLAYER NAME","OPP","KICKOFF","WX","SPREAD","O/U","PRED SCORE","PROJ RANK","$ RANK","RANK DIFF","PROJ PTS","SALARY","CPP","PROJ ROSTER %"
"Jameson Williams (DET - WR)","@GB","Sun 4:25PM","","GB -2","47","22.5","21","24","3","10.7","$6,000","$559","0%-"
"DK Metcalf (PIT - WR)","@NYJ","Sun 1:00PM","","PIT -3","38","20.5","22","14","-8","10.5","$6,800","$649","0%-"
"Calvin Ridley (TEN - WR)","@DEN","Sun 4:05PM","","DEN -8.5","42.5","17","23","29","6","10.4","$5,700","$550","0%-"
"George Pickens (DAL - WR)","@PHI","Thu 8:20PM","","PHI -7","46.5","20","0","0","0","10.4","$8,400","$806","1-5%-"
"Ricky Pearsall (SF - WR)","@SEA","Sun 4:05PM","","SF -2","43.5","23","24","38","14","10.3","$5,300","$516","0%-"
"Travis Kelce (KC - TE)","@LAC","Fri 8:00PM","","KC -3","46.5","25","0","0","0","10.3","$6,100","$594","5-10%-"
"Chris Olave (NO - WR)","ARI","Sun 1:00PM","","ARI -6.5","43.5","18.5","25","26","1","10.2","$5,900","$576","0%-"
"Travis Hunter (JAC - WR)","CAR","Sun 1:00PM","","JAC -3.5","47","25.5","26","30","4","10.2","$5,700","$559","0%-"
"RJ Harvey (DEN - RB)","TEN","Sun 4:05PM","","DEN -8.5","42.5","25.5","21","24","3","10.1","$5,700","$562","0%"
"Deebo Samuel Sr. (WAS - WR)","NYG","Sun 1:00PM","","WAS -6","45.5","26","27","18","-9","10.0","$6,300","$627","0%-"
"Travis Etienne Jr. (JAC - RB)","CAR","Sun 1:00PM","","JAC -3.5","47","25.5","22","19","-3","10.0","$6,100","$608","0%"
"Stefon Diggs (NE - WR)","LV","Sun 1:00PM","","NE -2.5","43.5","23","28","21","-7","9.9","$6,100","$614","1-5%-"
"David Njoku (CLE - TE)","CIN","Sun 1:00PM","","CIN -5.5","47.5","21","4","5","1","9.9","$5,700","$575","10-20%-"
"J.K. Dobbins (DEN - RB)","TEN","Sun 4:05PM","","DEN -8.5","42.5","25.5","23","23","0","9.8","$5,700","$583","0%"
"Rome Odunze (CHI - WR)","MIN","Mon 8:15PM","","MIN -1.5","44","21.5","0","0","0","9.8","$5,500","$559","0%-"
"Jakobi Meyers (LV - WR)","@NE","Sun 1:00PM","","NE -2.5","43.5","20.5","29","19","-10","9.7","$6,200","$640","1-5%-"
"Matthew Golden (GB - WR)","DET","Sun 4:25PM","","GB -2","47","24.5","30","36","6","9.7","$5,400","$559","0%-"
"Khalil Shakir (BUF - WR)","BAL","Sun 8:20PM","","BAL -1","50.5","25","0","0","0","9.6","$5,900","$616","0%-"
"Austin Ekeler (WAS - RB)","NYG","Sun 1:00PM","","WAS -6","45.5","26","24","32","8","9.5","$5,200","$547","0%"
"Jerome Ford (CLE - RB)","CIN","Sun 1:00PM","","CIN -5.5","47.5","21","25","22","-3","9.5","$5,800","$612","5-10%"
"Javonte Williams (DAL - RB)","@PHI","Thu 8:20PM","","PHI -7","46.5","20","0","0","0","9.5","$6,600","$697","1-5%-"
"Michael Pittman Jr. (IND - WR)","MIA","Sun 1:00PM","","IND -1.5","46.5","24","31","25","-6","9.2","$5,900","$640","0%-"
"Sam LaPorta (DET - TE)","@GB","Sun 4:25PM","","GB -2","47","22.5","5","4","-1","9.2","$5,900","$640","0%-"
"Tank Bigsby (JAC - RB)","CAR","Sun 1:00PM","","JAC -3.5","47","25.5","26","31","5","9.1","$5,300","$584","0%"
"Jauan Jennings (SF - WR) Q","@SEA","Sun 4:05PM","","SF -2","43.5","23","32","23","-9","8.9","$6,000","$670","0%-"
"Cooper Kupp (SEA - WR)","SF","Sun 4:05PM","","SF -2","43.5","21","33","22","-11","8.8","$6,100","$690","0%-"
"Josh Downs (IND - WR)","MIA","Sun 1:00PM","","IND -1.5","46.5","24","34","41","7","8.8","$5,200","$588","0%-"
"Keon Coleman (BUF - WR) Q","BAL","Sun 8:20PM","","BAL -1","50.5","25","0","0","0","8.7","$4,800","$551","0%-"
"Rashid Shaheed (NO - WR)","ARI","Sun 1:00PM","","ARI -6.5","43.5","18.5","35","31","-4","8.6","$5,600","$653","0%-"
"Jordan Mason (MIN - RB)","@CHI","Mon 8:15PM","","MIN -1.5","44","23","0","0","0","8.6","$4,900","$573","0%-"
"Nick Chubb (HOU - RB)","@LAR","Sun 4:25PM","","LAR -3","43.5","20.5","27","29","2","8.5","$5,400","$637","0%"
"Mark Andrews (BAL - TE)","@BUF","Sun 8:20PM","","BAL -1","50.5","26","0","0","0","8.5","$5,500","$648","0%-"
"T.J. Hockenson (MIN - TE)","@CHI","Mon 8:15PM","","MIN -1.5","44","23","0","0","0","8.5","$5,600","$655","0%-"
"Rhamondre Stevenson (NE - RB)","LV","Sun 1:00PM","","NE -2.5","43.5","23","28","25","-3","8.4","$5,600","$668","1-5%"
"Denver Broncos (DEN - DST)","TEN","Sun 4:05PM","","DEN -8.5","42.5","25.5","1","1","0","8.2","$4,800","$586","0%-"
"Marvin Mims Jr. (DEN - WR)","TEN","Sun 4:05PM","","DEN -8.5","42.5","25.5","36","35","-1","8.2","$5,400","$656","0%-"
"Cedric Tillman (CLE - WR)","CIN","Sun 1:00PM","","CIN -5.5","47.5","21","37","76","39","8.2","$4,700","$571","10-20%-"
"Brandon Aubrey (DAL - K)","@PHI","Thu 8:20PM","","PHI -7","46.5","20","1","90","+89","8.2","$6,200","$752","0%-"
"Arizona Cardinals (ARI - DST)","@NO","Sun 1:00PM","","ARI -6.5","43.5","25","2","7","5","8.1","$4,200","$521","0%-"
