"PLAYER NAME","OPP","KICKOFF","WX","SPREAD","O/U","PRED SCORE","PROJ RANK","$ RANK","RANK DIFF","PROJ PTS","SALARY","CPP","PROJ ROSTER %"
"Nick Westbrook-Ikhine (MIA - WR)","@IND","Sun 1:00PM","","IND -1.5","46.5","22.5","67","65","-2","3.9","$4,800","$1231","0%-"
"Jaylin Noel (HOU - WR)","@LAR","Sun 4:25PM","","LAR -3","43.5","20.5","68","250","182","3.9","$4,000","$1016","0%-"
"Dont'e Thornton Jr. (LV - WR)","@NE","Sun 1:00PM","","NE -2.5","43.5","20.5","69","97","28","3.9","$4,400","$1116","1-5%-"
"Will Shipley (PHI - RB)","DAL","Thu 8:20PM","","PHI -7","46.5","27","0","0","0","3.9","$3,400","$872","1-5%-"
"Jalen Tolbert (DAL - WR)","@PHI","Thu 8:20PM","","PHI -7","46.5","20","0","0","0","3.9","$5,200","$1332","1-5%-"
"Noah Gray (KC - TE)","@LAC","Fri 8:00PM","","KC -3","46.5","25","0","0","0","3.9","$4,800","$1245","1-5%-"
"Raheem Mostert (LV - RB)","@NE","Sun 1:00PM","","NE -2.5","43.5","20.5","42","35","-7","3.8","$5,000","$1327","1-5%"
"Blake Corum (LAR - RB)","HOU","Sun 4:25PM","","LAR -3","43.5","23.5","43","46","3","3.8","$4,700","$1244","0%"
"Kendre Miller (NO - RB)","ARI","Sun 1:00PM","","ARI -6.5","43.5","18.5","44","43","-1","3.8","$4,800","$1271","0%"
"Tory Horton (SEA - WR)","SF","Sun 4:05PM","","SF -2","43.5","21","70","222","152","3.8","$4,000","$1042","0%-"
"Tyler Conklin (LAC - TE)","KC","Fri 8:00PM","","KC -3","46.5","22","0","0","0","3.8","$4,600","$1225","1-5%-"
"Olamide Zaccheaus (CHI - WR)","MIN","Mon 8:15PM","","MIN -1.5","44","21.5","0","0","0","3.8","$4,500","$1190","0%-"
"Kyle Monangai (CHI - RB) Q","MIN","Mon 8:15PM","","MIN -1.5","44","21.5","0","0","0","3.8","$4,000","$1061","0%-"
"Jack Bech (LV - WR)","@NE","Sun 1:00PM","","NE -2.5","43.5","20.5","71","96","25","3.7","$4,400","$1174","1-5%-"
"Noah Brown (WAS - WR) Q","NYG","Sun 1:00PM","","WAS -6","45.5","26","72","43","-29","3.6","$5,100","$1402","0%-"
"Devaughn Vele (NO - WR)","ARI","Sun 1:00PM","","ARI -6.5","43.5","18.5","73","70","-3","3.6","$4,800","$1336","0%-"
"Josh Reynolds (NYJ - WR)","PIT","Sun 1:00PM","","PIT -3","38","17.5","74","52","-22","3.5","$4,900","$1387","0%-"
"Parker Washington (JAC - WR)","CAR","Sun 1:00PM","","JAC -3.5","47","25.5","75","54","-21","3.5","$4,900","$1402","0%-"
"Kenneth Gainwell (PIT - RB)","@NYJ","Sun 1:00PM","","PIT -3","38","20.5","45","61","16","3.5","$4,400","$1245","0%"
"AJ Barner (SEA - TE)","SF","Sun 4:05PM","","SF -2","43.5","21","28","49","21","3.5","$4,200","$1214","0%-"
"DJ Giddens (IND - RB)","MIA","Sun 1:00PM","","IND -1.5","46.5","24","46","64","18","3.5","$4,400","$1266","0%"
"Elijah Moore (BUF - WR) Q","BAL","Sun 8:20PM","","BAL -1","50.5","25","0","0","0","3.5","$4,900","$1419","0%-"
"Terrance Ferguson (LAR - TE)","HOU","Sun 4:25PM","","LAR -3","43.5","23.5","29","43","14","3.4","$4,200","$1244","0%-"
"Jaylin Lane (WAS - WR)","NYG","Sun 1:00PM","","WAS -6","45.5","26","76","89","13","3.4","$4,500","$1334","0%-"
"Will Dissly (LAC - TE)","KC","Fri 8:00PM","","KC -3","46.5","22","0","0","0","3.4","$5,000","$1473","1-5%-"
"Ty Johnson (BUF - RB)","BAL","Sun 8:20PM","","BAL -1","50.5","25","0","0","0","3.4","$4,500","$1305","0%-"
"KeAndre Lambert-Smith (LAC - WR)","KC","Fri 8:00PM","","KC -3","46.5","22","0","0","0","3.4","$4,200","$1253","1-5%-"
"Keaton Mitchell (BAL - RB)","@BUF","Sun 8:20PM","","BAL -1","50.5","26","0","0","0","3.4","$4,000","$1178","0%-"
"Mack Hollins (NE - WR)","LV","Sun 1:00PM","","NE -2.5","43.5","23","77","62","-15","3.2","$4,800","$1497","1-5%-"
"Troy Franklin (DEN - WR)","TEN","Sun 4:05PM","","DEN -8.5","42.5","25.5","78","78","0","3.2","$4,600","$1416","0%-"
"Emanuel Wilson (GB - RB)","DET","Sun 4:25PM","","GB -2","47","24.5","47","51","4","3.2","$4,600","$1426","0%"
"Tai Felton (MIN - WR)","@CHI","Mon 8:15PM","","MIN -1.5","44","23","0","0","0","3.2","$4,000","$1268","0%-"
"Brashard Smith (KC - RB)","@LAC","Fri 8:00PM","","KC -3","46.5","25","0","0","0","3.2","$4,200","$1326","1-5%-"
"Tim Patrick (JAC - WR)","CAR","Sun 1:00PM","","JAC -3.5","47","25.5","79","53","-26","3.1","$4,900","$1577","0%-"
"Marquez Valdes-Scantling (SF - WR)","@SEA","Sun 4:05PM","","SF -2","43.5","23","80","71","-9","3.1","$4,700","$1496","0%-"
"Devin Singletary (NYG - RB)","@WAS","Sun 1:00PM","","WAS -6","45.5","20","48","41","-7","3.1","$4,800","$1537","0%"
"Savion Williams (GB - WR) Q","DET","Sun 4:25PM","","GB -2","47","24.5","81","116","35","3.1","$4,200","$1363","0%-"
"Samaje Perine (CIN - RB)","@CLE","Sun 1:00PM","","CIN -5.5","47.5","26.5","49","49","0","3.0","$4,600","$1517","1-5%"
"Sean Tucker (TB - RB)","@ATL","Sun 1:00PM","","TB -1.5","47.5","24.5","50","62","12","3.0","$4,400","$1447","1-5%"
"Jaleel McLaughlin (DEN - RB)","TEN","Sun 4:05PM","","DEN -8.5","42.5","25.5","51","60","9","3.0","$4,500","$1493","0%"
"Michael Mayer (LV - TE)","@NE","Sun 1:00PM","","NE -2.5","43.5","20.5","30","29","-1","2.8","$4,500","$1611","1-5%-"
"Isaiah Davis (NYJ - RB)","PIT","Sun 1:00PM","","PIT -3","38","17.5","52","76","24","2.8","$4,200","$1509","0%"
"Hunter Renfrow (CAR - WR)","@JAC","Sun 1:00PM","","JAC -3.5","47","22","82","99","17","2.7","$4,300","$1595","0%-"
"Jarquez Hunter (LAR - RB)","HOU","Sun 4:25PM","","LAR -3","43.5","23.5","53","73","20","2.6","$4,200","$1643","0%"
"Isaac Guerendo (SF - RB)","@SEA","Sun 4:05PM","","SF -2","43.5","23","54","44","-10","2.6","$4,800","$1864","0%"
"JuJu Smith-Schuster (KC - WR)","@LAC","Fri 8:00PM","","KC -3","46.5","25","0","0","0","2.6","$4,700","$1821","1-5%-"
"Austin Hooper (NE - TE)","LV","Sun 1:00PM","","NE -2.5","43.5","23","31","27","-4","2.5","$4,500","$1817","1-5%-"
"Antonio Gibson (NE - RB)","LV","Sun 1:00PM","","NE -2.5","43.5","23","55","39","-16","2.5","$4,900","$1941","1-5%"
"Tahj Brooks (CIN - RB)","@CLE","Sun 1:00PM","","CIN -5.5","47.5","26.5","56","68","12","2.5","$4,300","$1691","1-5%"
"Dawson Knox (BUF - TE)","BAL","Sun 8:20PM","","BAL -1","50.5","25","0","0","0","2.5","$4,400","$1781","0%-"
"Zay Jones (ARI - WR)","@NO","Sun 1:00PM","","ARI -6.5","43.5","25","83","105","22","2.4","$4,200","$1768","0%-"
"Trevor Etienne (CAR - RB)","@JAC","Sun 1:00PM","","JAC -3.5","47","22","57","74","17","2.4","$4,200","$1719","0%"
"Gunnar Helm (TEN - TE)","@DEN","Sun 4:05PM","","DEN -8.5","42.5","17","32","135","103","2.4","$4,000","$1661","0%-"
"Elijah Mitchell (KC - RB)","@LAC","Fri 8:00PM","","KC -3","46.5","25","0","0","0","2.4","$4,800","$2011","1-5%-"
"Tommy Tremble (CAR - TE)","@JAC","Sun 1:00PM","","JAC -3.5","47","22","33","31","-2","2.3","$4,400","$1935","0%-"
"Devin Neal (NO - RB)","ARI","Sun 1:00PM","","ARI -6.5","43.5","18.5","58","50","-8","2.3","$4,600","$2004","0%"
"Luke Musgrave (GB - TE)","DET","Sun 4:25PM","","GB -2","47","24.5","34","46","12","2.3","$4,200","$1825","0%-"
"A.J. Dillon (PHI - RB)","DAL","Thu 8:20PM","","PHI -7","46.5","27","0","0","0","2.2","$2,000","$908","1-5%-"
"Sterling Shepard (TB - WR)","@ATL","Sun 1:00PM","","TB -1.5","47.5","24.5","84","59","-25","2.1","$4,800","$2291","1-5%-"
"Zamir White (LV - RB)","@NE","Sun 1:00PM","","NE -2.5","43.5","20.5","59","95","36","2.1","$4,000","$1869","1-5%"
"Julius Chestnut (TEN - RB)","@DEN","Sun 4:05PM","","DEN -8.5","42.5","17","60","63","3","2.1","$4,400","$2077","0%"
"Cade Stover (HOU - TE)","@LAR","Sun 4:25PM","","LAR -3","43.5","20.5","35","45","10","2.1","$4,200","$1997","0%-"
"Quinshon Judkins (CLE - RB)","CIN","Sun 1:00PM","","CIN -5.5","47.5","21","61","37","-24","2.0","$5,000","$2526","1-5%"
"Ben Sinnott (WAS - TE)","NYG","Sun 1:00PM","","WAS -6","45.5","26","36","120","84","2.0","$4,000","$2027","0%-"
"Jordan James (SF - RB) Q","@SEA","Sun 4:05PM","","SF -2","43.5","23","62","137","75","2.0","$4,000","$2029","0%"
"Jahan Dotson (PHI - WR)","DAL","Thu 8:20PM","","PHI -7","46.5","27","0","0","0","2.0","$3,000","$1467","1-5%-"
"Oronde Gadsden II (LAC - TE)","KC","Fri 8:00PM","","KC -3","46.5","22","0","0","0","2.0","$4,100","$2021","1-5%-"
"Allen Lazard (NYJ - WR)","PIT","Sun 1:00PM","","PIT -3","38","17.5","85","83","-2","1.9","$4,500","$2308","0%-"
"Jaxson Dart (NYG - QB)","@WAS","Sun 1:00PM","","WAS -6","45.5","20","25","64","39","1.9","$6,000","$3133","0%-"
"Raheim Sanders (CLE - RB)","CIN","Sun 1:00PM","","CIN -5.5","47.5","21","63","110","47","1.9","$4,000","$2144","1-5%"
"Josh Oliver (MIN - TE)","@CHI","Mon 8:15PM","","MIN -1.5","44","23","0","0","0","1.9","$4,300","$2269","0%-"
"Charlie Kolar (BAL - TE)","@BUF","Sun 8:20PM","","BAL -1","50.5","26","0","0","0","1.9","$4,300","$2208","0%-"
"Greg Dortch (ARI - WR)","@NO","Sun 1:00PM","","ARI -6.5","43.5","25","86","84","-2","1.8","$4,500","$2514","0%-"
"Van Jefferson (TEN - WR)","@DEN","Sun 4:05PM","","DEN -8.5","42.5","17","87","85","-2","1.8","$4,500","$2471","0%-"
"Elijah Higgins (ARI - TE)","@NO","Sun 1:00PM","","ARI -6.5","43.5","25","37","56","19","1.8","$4,100","$2247","0%-"
"Jordan Whittington (LAR - WR)","HOU","Sun 4:25PM","","LAR -3","43.5","23.5","88","86","-2","1.8","$4,500","$2462","0%-"
"Xavier Hutchinson (HOU - WR)","@LAR","Sun 4:25PM","","LAR -3","43.5","20.5","89","94","5","1.8","$4,400","$2418","0%-"
"Jamari Thrash (CLE - WR)","CIN","Sun 1:00PM","","CIN -5.5","47.5","21","90","125","35","1.8","$4,100","$2249","1-5%-"
"Kalel Mullings (TEN - RB)","@DEN","Sun 4:05PM","","DEN -8.5","42.5","17","64","134","70","1.7","$4,000","$2409","0%"
"Tez Johnson (TB - WR)","@ATL","Sun 1:00PM","","TB -1.5","47.5","24.5","91","251","160","1.7","$4,000","$2313","1-5%-"
"Luke Schoonmaker (DAL - TE)","@PHI","Thu 8:20PM","","PHI -7","46.5","20","0","0","0","1.7","$1,600","$937","1-5%-"
"Adam Trautman (DEN - TE)","TEN","Sun 4:05PM","","DEN -8.5","42.5","25.5","38","53","15","1.6","$4,100","$2590","0%-"
"Hunter Long (JAC - TE)","CAR","Sun 1:00PM","","JAC -3.5","47","25.5","39","82","43","1.6","$4,000","$2558","0%-"
"Darnell Washington (PIT - TE)","@NYJ","Sun 1:00PM","","PIT -3","38","20.5","40","42","2","1.6","$4,200","$2590","0%-"
"Jeremy Ruckert (NYJ - TE)","PIT","Sun 1:00PM","","PIT -3","38","17.5","41","57","16","1.6","$4,100","$2493","0%-"
"Julian Hill (MIA - TE)","@IND","Sun 1:00PM","","IND -1.5","46.5","22.5","42","62","20","1.6","$4,100","$2486","0%-"
"Luke McCaffrey (WAS - WR)","NYG","Sun 1:00PM","","WAS -6","45.5","26","92","79","-13","1.6","$4,600","$2910","0%-"
"Grant Calcaterra (PHI - TE)","DAL","Thu 8:20PM","","PHI -7","46.5","27","0","0","0","1.6","$1,000","$612","5-10%-"
"Tyquan Thornton (KC - WR)","@LAC","Fri 8:00PM","","KC -3","46.5","25","0","0","0","1.6","$4,000","$2437","1-5%-"
"Kimani Vidal (LAC - RB)","KC","Fri 8:00PM","","KC -3","46.5","22","0","0","0","1.6","$4,000","$2532","1-5%-"
"Kalif Raymond (DET - WR)","@GB","Sun 4:25PM","","GB -2","47","22.5","93","61","-32","1.5","$4,800","$3119","0%-"
"Johnny Mundt (JAC - TE)","CAR","Sun 1:00PM","","JAC -3.5","47","25.5","43","51","8","1.5","$4,100","$2827","0%-"
"KhaDarel Hodge (ATL - WR)","TB","Sun 1:00PM","","TB -1.5","47.5","23","94","108","14","1.5","$4,200","$2786","1-5%-"
"Drew Sample (CIN - TE)","@CLE","Sun 1:00PM","","CIN -5.5","47.5","26.5","44","37","-7","1.5","$4,200","$2760","1-5%-"
"Charlie Woerner (ATL - TE)","TB","Sun 1:00PM","","TB -1.5","47.5","23","45","40","-5","1.5","$4,200","$2851","1-5%-"
"Emari Demercado (ARI - RB)","@NO","Sun 1:00PM","","ARI -6.5","43.5","25","65","118","53","1.5","$4,000","$2658","0%"
"Chimere Dike (TEN - WR)","@DEN","Sun 4:05PM","","DEN -8.5","42.5","17","95","103","8","1.5","$4,300","$2901","0%-"
"Curtis Samuel (BUF - WR)","BAL","Sun 8:20PM","","BAL -1","50.5","25","0","0","0","1.5","$4,700","$3033","0%-"
"Jermaine Burton (CIN - WR)","@CLE","Sun 1:00PM","","CIN -5.5","47.5","26.5","96","110","14","1.4","$4,200","$3030","1-5%-"
"Daniel Bellinger (NYG - TE)","@WAS","Sun 1:00PM","","WAS -6","45.5","20","46","32","-14","1.4","$4,400","$3230","0%-"
"Payne Durham (TB - TE)","@ATL","Sun 1:00PM","","TB -1.5","47.5","24.5","47","47","0","1.4","$4,200","$3003","1-5%-"
"Isaiah Bond (CLE - WR)","CIN","Sun 1:00PM","","CIN -5.5","47.5","21","97","197","100","1.4","$4,000","$2930","1-5%-"
"Ty Chandler (MIN - RB)","@CHI","Mon 8:15PM","","MIN -1.5","44","23","0","0","0","1.4","$4,300","$3056","0%-"
"Arian Smith (NYJ - WR)","PIT","Sun 1:00PM","","PIT -3","38","17.5","98","93","-5","1.3","$4,400","$3306","0%-"
"Brock Wright (DET - TE)","@GB","Sun 4:25PM","","GB -2","47","22.5","48","44","-4","1.3","$4,200","$3344","0%-"
"Anthony Richardson Sr. (IND - QB) N","MIA","Sun 1:00PM","","IND -1.5","46.5","24","26","18","-8","1.3","$6,900","$5222","0%-"
"Stone Smartt (NYJ - TE)","PIT","Sun 1:00PM","","PIT -3","38","17.5","49","34","-15","1.3","$4,300","$3325","0%-"
"Jake Bobo (SEA - WR) Q","SF","Sun 4:05PM","","SF -2","43.5","21","99","113","14","1.3","$4,200","$3305","0%-"
"Mitchell Evans (CAR - TE)","@JAC","Sun 1:00PM","","JAC -3.5","47","22","50","136","86","1.3","$4,000","$3175","0%-"
"Jimmy Horn Jr. (CAR - WR)","@JAC","Sun 1:00PM","","JAC -3.5","47","22","100","98","-2","1.3","$4,400","$3338","0%-"
"Jordan Watkins (SF - WR) Q","@SEA","Sun 4:05PM","","SF -2","43.5","23","101","266","165","1.3","$4,000","$3059","0%-"
"Kyle Juszczyk (SF - RB)","@SEA","Sun 4:05PM","","SF -2","43.5","23","66","77","11","1.2","$4,100","$3482","0%"
"John Bates (WAS - TE)","NYG","Sun 1:00PM","","WAS -6","45.5","26","51","54","3","1.2","$4,100","$3400","0%-"
"John Metchie III (HOU - WR)","@LAR","Sun 4:25PM","","LAR -3","43.5","20.5","102","68","-34","1.2","$4,800","$4156","0%-"
"David Moore (CAR - WR)","@JAC","Sun 1:00PM","","JAC -3.5","47","22","103","106","3","1.1","$4,200","$3813","0%-"
"Dare Ogunbowale (HOU - RB)","@LAR","Sun 4:25PM","","LAR -3","43.5","20.5","67","70","3","1.1","$4,200","$3818","0%"
"Tanner Hudson (CIN - TE)","@CLE","Sun 1:00PM","","CIN -5.5","47.5","26.5","52","35","-17","1.1","$4,200","$3920","1-5%-"
"Trent Sherfield Sr. (DEN - WR)","TEN","Sun 4:05PM","","DEN -8.5","42.5","25.5","104","120","16","1.1","$4,100","$3795","0%-"
"Alec Ingold (MIA - RB)","@IND","Sun 1:00PM","","IND -1.5","46.5","22.5","68","88","20","1.1","$4,000","$3670","0%"
"Colby Parkinson (LAR - TE)","HOU","Sun 4:25PM","","LAR -3","43.5","23.5","53","38","-15","1.1","$4,200","$3682","0%-"
"Luke Farrell (SF - TE)","@SEA","Sun 4:05PM","","SF -2","43.5","23","54","39","-15","1.1","$4,200","$3669","0%-"
"Jalin Hyatt (NYG - WR)","@WAS","Sun 1:00PM","","WAS -6","45.5","20","106","87","-19","1.1","$4,500","$3950","0%-"
"Tip Reiman (ARI - TE)","@NO","Sun 1:00PM","","ARI -6.5","43.5","25","55","123","68","1.1","$4,000","$3541","0%-"
"Kylen Granson (PHI - TE)","DAL","Thu 8:20PM","","PHI -7","46.5","27","0","0","0","1.1","$1,400","$1306","1-5%-"
"Skyy Moore (SF - WR)","@SEA","Sun 4:05PM","","SF -2","43.5","23","105","186","81","1.1","$4,000","$3579","0%-"
"Hassan Haskins (LAC - RB)","KC","Fri 8:00PM","","KC -3","46.5","22","0","0","0","1.1","$4,400","$3872","1-5%-"
"Jeremy McNichols (WAS - RB)","NYG","Sun 1:00PM","","WAS -6","45.5","26","69","69","0","1.0","$4,200","$4382","0%"
"Casey Washington (ATL - WR)","TB","Sun 1:00PM","","TB -1.5","47.5","23","107","234","127","1.0","$4,000","$4061","1-5%-"
"Hunter Luepke (DAL - RB)","@PHI","Thu 8:20PM","","PHI -7","46.5","20","0","0","0","1.0","$1,200","$1213","1-5%-"
"Mo Alie-Cox (IND - TE)","MIA","Sun 1:00PM","","IND -1.5","46.5","24","56","50","-6","0.9","$4,100","$0","0%-"
"Lucas Krull (DEN - TE)","TEN","Sun 4:05PM","","DEN -8.5","42.5","25.5","57","59","2","0.9","$4,100","$0","0%-"
"Tylan Wallace (BAL - WR)","@BUF","Sun 8:20PM","","BAL -1","50.5","26","0","0","0","0.9","$4,200","$0","0%-"
"Eric Saubert (SEA - TE)","SF","Sun 4:05PM","","SF -2","43.5","21","58","66","8","0.8","$4,000","$0","0%-"
"Scotty Miller (PIT - WR)","@NYJ","Sun 1:00PM","","PIT -3","38","20.5","108","101","-7","0.8","$4,300","$0","0%-"
"Tyler Goodson (IND - RB) Q","MIA","Sun 1:00PM","","IND -1.5","46.5","24","70","58","-12","0.8","$4,500","$0","0%"
"Moliki Matavao (NO - TE)","ARI","Sun 1:00PM","","ARI -6.5","43.5","18.5","59","88","29","0.8","$4,000","$0","0%-"
"Tanner Conner (MIA - TE)","@IND","Sun 1:00PM","","IND -1.5","46.5","22.5","60","103","43","0.8","$4,000","$0","0%-"
"Connor Heyward (PIT - TE)","@NYJ","Sun 1:00PM","","PIT -3","38","20.5","61","104","43","0.8","$4,000","$0","0%-"
"Brevyn Spann-Ford (DAL - TE)","@PHI","Thu 8:20PM","","PHI -7","46.5","20","0","0","0","0.8","$1,000","$0","1-5%-"
"Derius Davis (LAC - WR)","KC","Fri 8:00PM","","KC -3","46.5","22","0","0","0","0.8","$4,300","$0","1-5%-"
"Russell Gage Jr. (SF - WR)","@SEA","Sun 4:05PM","","SF -2","43.5","23","109","135","26","0.7","$4,000","$0","0%-"
"Craig Reynolds (DET - RB)","@GB","Sun 4:25PM","","GB -2","47","22.5","71","54","-17","0.7","$4,500","$0","0%"
"Will Mallory (IND - TE)","MIA","Sun 1:00PM","","IND -1.5","46.5","24","62","97","35","0.7","$4,000","$0","0%-"
"Blake Whiteheart (CLE - TE) Q","CIN","Sun 1:00PM","","CIN -5.5","47.5","21","63","61","-2","0.7","$4,100","$0","1-5%-"
"Ryan Miller (TB - TE)","@ATL","Sun 1:00PM","","TB -1.5","47.5","24.5","64","48","-16","0.7","$4,200","$0","1-5%-"
"David Martin-Robinson (TEN - TE)","@DEN","Sun 4:05PM","","DEN -8.5","42.5","17","65","133","68","0.7","$4,000","$0","0%-"
"Gage Larvadain (CLE - WR)","CIN","Sun 1:00PM","","CIN -5.5","47.5","21","110","293","183","0.7","$4,000","$0","1-5%-"
"Patrick Ricard (BAL - RB) Q","@BUF","Sun 8:20PM","","BAL -1","50.5","26","0","0","0","0.7","$4,200","$0","0%-"
"Durham Smythe (CHI - TE)","MIN","Mon 8:15PM","","MIN -1.5","44","21.5","0","0","0","0.7","$4,300","$0","0%-"
"Devontez Walker (BAL - WR)","@BUF","Sun 8:20PM","","BAL -1","50.5","26","0","0","0","0.7","$4,300","$0","0%-"
"Jared Wiley (KC - TE)","@LAC","Fri 8:00PM","","KC -3","46.5","25","0","0","0","0.7","$4,000","$0","1-5%-"
"Kirk Cousins (ATL - QB)","TB","Sun 1:00PM","","TB -1.5","47.5","23","27","31","4","0.6","$6,000","$0","1-5%-"
"Jimmy Garoppolo (LAR - QB)","HOU","Sun 4:25PM","","LAR -3","43.5","23.5","28","33","5","0.6","$6,000","$0","0%-"
"Chris Manhertz (NYG - TE)","@WAS","Sun 1:00PM","","WAS -6","45.5","20","66","64","-2","0.6","$4,000","$0","0%-"
"Mason Rudolph (PIT - QB)","@NYJ","Sun 1:00PM","","PIT -3","38","20.5","29","42","13","0.6","$6,000","$0","0%-"
"Tyler Johnson (NYJ - WR)","PIT","Sun 1:00PM","","PIT -3","38","17.5","111","64","-47","0.6","$4,800","$0","0%-"
"Jalen Milroe (SEA - QB)","SF","Sun 4:05PM","","SF -2","43.5","21","30","59","29","0.6","$6,000","$0","0%-"
"Tyler Shough (NO - QB) N","ARI","Sun 1:00PM","","ARI -6.5","43.5","18.5","31","26","-5","0.6","$6,500","$0","0%-"
"Dillon Gabriel (CLE - QB)","CIN","Sun 1:00PM","","CIN -5.5","47.5","21","32","63","31","0.6","$6,000","$0","1-5%-"
"Tyler Badie (DEN - RB)","TEN","Sun 4:05PM","","DEN -8.5","42.5","25.5","72","108","36","0.6","$4,000","$0","0%"
"LeQuint Allen Jr. (JAC - RB)","CAR","Sun 1:00PM","","JAC -3.5","47","25.5","73","135","62","0.6","$4,000","$0","0%"
"Efton Chism III (NE - WR)","LV","Sun 1:00PM","","NE -2.5","43.5","23","112","258","146","0.6","$4,000","$0","1-5%-"
"Joe Milton III (DAL - QB)","@PHI","Thu 8:20PM","","PHI -7","46.5","20","0","0","0","0.6","$1,000","$0","1-5%-"
"Tyrod Taylor (NYJ - QB)","PIT","Sun 1:00PM","","PIT -3","38","17.5","33","30","-3","0.5","$6,000","$0","0%-"
"Marcus Mariota (WAS - QB)","NYG","Sun 1:00PM","","WAS -6","45.5","26","34","34","0","0.5","$6,000","$0","0%-"
"Jameis Winston (NYG - QB)","@WAS","Sun 1:00PM","","WAS -6","45.5","20","35","35","0","0.5","$6,000","$0","0%-"
"Nick Mullens (JAC - QB)","CAR","Sun 1:00PM","","JAC -3.5","47","25.5","36","41","5","0.5","$6,000","$0","0%-"
"Ian Thomas (LV - TE)","@NE","Sun 1:00PM","","NE -2.5","43.5","20.5","67","67","0","0.5","$4,000","$0","1-5%-"
"Justin Watson (HOU - WR)","@LAR","Sun 4:25PM","","LAR -3","43.5","20.5","113","107","-6","0.5","$4,200","$0","0%-"
"Drew Lock (SEA - QB)","SF","Sun 4:05PM","","SF -2","43.5","21","37","46","9","0.5","$6,000","$0","0%-"
"Jake Browning (CIN - QB)","@CLE","Sun 1:00PM","","CIN -5.5","47.5","26.5","38","49","11","0.5","$6,000","$0","1-5%-"
"Jarrett Stidham (DEN - QB)","TEN","Sun 4:05PM","","DEN -8.5","42.5","25.5","39","50","11","0.5","$6,000","$0","0%-"
"Ashton Dulin (IND - WR)","MIA","Sun 1:00PM","","IND -1.5","46.5","24","114","140","26","0.5","$4,000","$0","0%-"
"Mac Jones (SF - QB)","@SEA","Sun 4:05PM","","SF -2","43.5","23","40","55","15","0.5","$6,000","$0","0%-"
"Zach Wilson (MIA - QB)","@IND","Sun 1:00PM","","IND -1.5","46.5","22.5","41","56","15","0.5","$6,000","$0","0%-"
"Kenny Pickett (LV - QB)","@NE","Sun 1:00PM","","NE -2.5","43.5","20.5","42","57","15","0.5","$6,000","$0","1-5%-"
"Davis Mills (HOU - QB)","@LAR","Sun 4:25PM","","LAR -3","43.5","20.5","43","58","15","0.5","$6,000","$0","0%-"
"George Holani (SEA - RB)","SF","Sun 4:05PM","","SF -2","43.5","21","74","96","22","0.5","$4,000","$0","0%"
"Malik Willis (GB - QB)","DET","Sun 4:25PM","","GB -2","47","24.5","44","67","23","0.5","$6,000","$0","0%-"
"Trey Palmer (NO - WR)","ARI","Sun 1:00PM","","ARI -6.5","43.5","18.5","115","112","-3","0.5","$4,200","$0","1-5%-"
"Ben Sims (GB - TE)","DET","Sun 4:25PM","","GB -2","47","24.5","68","111","43","0.5","$4,000","$0","0%-"
"Xavier Gipson (NYJ - WR)","PIT","Sun 1:00PM","","PIT -3","38","17.5","116","124","8","0.5","$4,100","$0","0%-"
"Jack Westover (NE - TE)","LV","Sun 1:00PM","","NE -2.5","43.5","23","69","124","55","0.5","$4,000","$0","1-5%-"
"Devin Culp (TB - TE)","@ATL","Sun 1:00PM","","TB -1.5","47.5","24.5","70","63","-7","0.5","$4,100","$0","1-5%-"
"Mitchell Trubisky (BUF - QB)","BAL","Sun 8:20PM","","BAL -1","50.5","25","0","0","0","0.5","$6,000","$0","0%-"
"Cooper Rush (BAL - QB)","@BUF","Sun 8:20PM","","BAL -1","50.5","26","0","0","0","0.5","$6,000","$0","0%-"
"Gardner Minshew II (KC - QB)","@LAC","Fri 8:00PM","","KC -3","46.5","25","0","0","0","0.5","$6,000","$0","1-5%-"
"Trey Lance (LAC - QB)","KC","Fri 8:00PM","","KC -3","46.5","22","0","0","0","0.5","$6,000","$0","1-5%-"
"Sam Howell (PHI - QB)","DAL","Thu 8:20PM","","PHI -7","46.5","27","0","0","0","0.5","$6,000","$0","1-5%-"
"Jackson Hawes (BUF - TE)","BAL","Sun 8:20PM","","BAL -1","50.5","25","0","0","0","0.5","$4,000","$0","0%-"
"Andy Dalton (CAR - QB)","@JAC","Sun 1:00PM","","JAC -3.5","47","22","45","29","-16","0.4","$6,000","$0","0%-"
"Jacoby Brissett (ARI - QB)","@NO","Sun 1:00PM","","ARI -6.5","43.5","25","47","37","-10","0.4","$6,000","$0","0%-"
"Ben Skowronek (PIT - WR)","@NYJ","Sun 1:00PM","","PIT -3","38","20.5","117","121","4","0.4","$4,100","$0","0%-"
"Thomas Fidone II (NYG - TE)","@WAS","Sun 1:00PM","","WAS -6","45.5","20","71","87","16","0.4","$4,000","$0","0%-"
"Davis Allen (LAR - TE)","HOU","Sun 4:25PM","","LAR -3","43.5","23.5","72","58","-14","0.4","$4,100","$0","0%-"
"Malik Heath (GB - WR)","DET","Sun 4:25PM","","GB -2","47","24.5","118","214","96","0.4","$4,000","$0","0%-"
"Mason Tipton (NO - WR)","ARI","Sun 1:00PM","","ARI -6.5","43.5","18.5","119","237","118","0.4","$4,000","$0","0%-"
