Lineup,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,Salary,Projected,Ceiling90,Uniqueness,Avg_Ownership
1,Patrick Mahomes,Jonathan Taylor,Cam Skattebo,George Pickens,Jordan Addison,Tyquan Thornton,Darren Waller,Dallas Goedert,Minnesota Vikings,60000,157.9,185.0,100.0,0.0
2,Dak Prescott,Javonte Williams,D'Andre Swift,Rashee Rice,Quentin Johnston,Jordan Addison,Tyler Warren,Dallas Goedert,Minnesota Vikings,59800,144.1,167.3,100.0,0.0
3,Patrick Mahomes,Ashton Jeanty,D'Andre Swift,CeeDee Lamb,Rome Odunze,Jordan Addison,Darren Waller,Dallas Goedert,Minnesota Vikings,60000,136.9,159.2,100.0,0.0
