Lineup,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,Salary,Projected,Ownership
1,Mac Jones,Christian McCaffrey,Javonte Williams,Michael Pittman Jr.,Tre Tucker,Ryan Flournoy,Jake Ferguson,Darren Waller,Seattle Seahawks,60000,174.5,0.0
2,Matthew Stafford,Travis Etienne Jr.,Kenneth Gainwell,CeeDee Lamb,Emeka Egbuka,George Pickens,Jake Ferguson,Devontez Walker,Jacksonville Jaguars,59400,169.0,0.0
