Lineup,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,Salary,Projected,Ownership
1,Matthew Stafford,Jonathan Taylor,Javonte Williams,CeeDee Lamb,George Pickens,Devontez Walker,Darren Waller,Kenneth Gainwell,Miami Dolphins,60000,143.2,0.0
2,Dak Prescott,Jonathan Taylor,Bucky Irving,CeeDee Lamb,George Pickens,Tre Tucker,David Martin-Robinson,Kenneth Gainwell,Carolina Panthers,60000,129.2,0.0
3,Matthew Stafford,Javonte Williams,Chuba Hubbard,Puka Nacua,George Pickens,Keenan Allen,David Martin-Robinson,Tre Tucker,Arizona Cardinals,59700,125.9,0.0
