Lineup,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,Salary,Projected,Ownership
1,Lamar Jackson,Christian McCaffrey,Javonte Williams,CeeDee Lamb,George Pickens,Devontez Walker,Darren Waller,Raheim Sanders,Arizona Cardinals,59900,137.7,0.0
2,Lamar Jackson,Jonathan Taylor,Javonte Williams,CeeDee Lamb,Tre Tucker,Devontez Walker,Jake Ferguson,Ameer Abdullah,Baltimore Ravens,60000,128.8,0.0
3,Lamar Jackson,Josh Jacobs,Javonte Williams,Jaxon Smith-Njigba,George Pickens,Cedrick Wilson Jr.,Jake Ferguson,Raheim Sanders,Miami Dolphins,60000,122.3,0.0
