Lineup,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,Salary,Projected,Ownership
1,Sam Darnold,Kyren Williams,Quinshon Judkins,CeeDee Lamb,Emeka Egbuka,Tory Horton,Darren Waller,Kenneth Gainwell,Seattle Seahawks,59900,182.6,0.0
2,Sam Darnold,Jonathan Taylor,Javonte Williams,Puka Nacua,Devontez Walker,Jake Bobo,Darren Waller,AJ Barner,Pittsburgh Steelers,60000,173.4,0.0
3,Lamar Jackson,Christian McCaffrey,Kenneth Walker III,Quentin Johnston,Romeo Doubs,Rashid Shaheed,AJ Barner,Zach Charbonnet,Arizona Cardinals,59500,162.5,0.0
