Lineup,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,Salary,Projected,Ownership
1,Baker Mayfield,Kenneth Walker III,Zach Charbonnet,Puka Nacua,Quentin Johnston,Keenan Allen,AJ Barner,Romeo Doubs,Arizona Cardinals,59500,175.3,0.0
2,Mac Jones,Jonathan Taylor,Kenneth Walker III,Jaxon Smith-Njigba,Michael Pittman Jr.,Tory Horton,Darren Waller,Devontez Walker,Indianapolis Colts,59100,174.0,0.0
3,Matthew Stafford,Bucky Irving,Kenneth Walker III,CeeDee Lamb,Zay Flowers,Tre Tucker,Darren Waller,AJ Barner,Seattle Seahawks,59800,167.6,0.0
